,5_n,5_p,5_l,6_n,6_p,6_l
3293,ETHE1,0.6207926686733172,-0.17122163,ETHE1,0.6207926686733172,0.17122163
3294,DDX1,0.6208867463015415,-0.24567907,DDX1,0.6208867463015415,0.24567907
3295,DNAJA2,0.620980830130304,0.28431857,DNAJA2,0.620980830130304,-0.28431857
3296,DCAF11,0.6211062848784203,-0.37758142,DCAF11,0.6211062848784203,0.37758142
3297,C12ORF75,0.6211062848784203,-0.050129514,C12ORF75,0.6211062848784203,0.050129514
3298,TUBG1,0.6213258571977478,-0.2709884,TUBG1,0.6213258571977478,0.2709884
3299,SAYSD1,0.6213572274254877,-0.9685665,SAYSD1,0.6213572274254877,0.9685665
3300,NUP50,0.6215454632434797,-0.3928579,NUP50,0.6215454632434797,0.3928579
3301,BTG1,0.6215454632434797,-0.07295667,BTG1,0.6215454632434797,0.07295667
3302,PPP1R15B,0.6217023453446437,-0.17835157,PPP1R15B,0.6217023453446437,0.17835157
3303,ZNF586,0.621827863405036,-0.8586553,ZNF586,0.621827863405036,0.8586553
3304,NFYC,0.6219847764499347,-0.17973985,NFYC,0.6219847764499347,0.17973985
3305,HVCN1,0.6220161611210335,0.6076594,HVCN1,0.6220161611210335,-0.6076594
3306,WNT5B,0.6220161611210335,-0.9165367,WNT5B,0.6220161611210335,0.9165367
3307,VPS37A,0.6225812026774735,-0.5143661,VPS37A,0.6225812026774735,0.5143661
3308,LPCAT3,0.6227695992986644,-0.88656074,LPCAT3,0.6227695992986644,0.88656074
3309,MLH3,0.6228010011372854,-0.5420323,MLH3,0.6228010011372854,0.5420323
3310,RP11-1094M14.11,0.6228952107695052,0.2621806,RP11-1094M14.11,0.6228952107695052,-0.2621806
3311,BOLA1,0.6229894265752733,-0.38910916,BOLA1,0.6229894265752733,0.38910916
3312,SLCO5A1,0.623492015084697,-0.42177865,SLCO5A1,0.623492015084697,0.42177865
3313,MTOR,0.6237433751168824,-1.1594751,MTOR,0.6237433751168824,1.1594751
3314,ACTR8,0.6237747982024604,-0.32255417,ACTR8,0.6237747982024604,0.32255417
3315,MAP7D1,0.6238690715668043,0.065386094,MAP7D1,0.6238690715668043,-0.065386094
3316,PLEKHN1,0.6239947789685945,-1.0113392,PLEKHN1,0.6239947789685945,1.0113392
3317,GNA13,0.6240576367754984,-0.33923167,GNA13,0.6240576367754984,0.33923167
3318,RAB5A,0.6241204973192389,-0.3266519,RAB5A,0.6241204973192389,0.3266519
3319,TAF11,0.624246226615722,-0.28585705,TAF11,0.624246226615722,0.28585705
3320,FGD3,0.6244348410772962,-0.7133928,FGD3,0.6244348410772962,0.7133928
3321,DENND1C,0.624560597725178,-0.84784126,DENND1C,0.624560597725178,0.84784126
3322,MITD1,0.6250637336392822,-0.27973023,MITD1,0.6250637336392822,0.27973023
3323,TAP1,0.6251580910859469,-0.27337506,TAP1,0.6251580910859469,0.27337506
3324,LMTK3,0.6258187651457234,0.037039187,LMTK3,0.6258187651457234,-0.037039187
3325,SMIM8,0.6260705295871365,-0.55769134,SMIM8,0.6260705295871365,0.55769134
3326,XIAP,0.626133477510299,-0.19713387,XIAP,0.626133477510299,0.19713387
3327,EXD2,0.6264482579840238,-1.0038762,EXD2,0.6264482579840238,1.0038762
3328,TRAF3IP3,0.6265112222476981,-0.21134618,TRAF3IP3,0.6265112222476981,0.21134618
3329,SMARCA4,0.6268890649803941,0.1896148,SMARCA4,0.6268890649803941,-0.1896148
3330,SMYD3,0.6269205562956159,-0.4233348,SMYD3,0.6269205562956159,0.4233348
3331,ABCB7,0.626952048290744,-0.5534084,ABCB7,0.626952048290744,0.5534084
3332,XRRA1,0.627141014536889,-0.4707816,XRRA1,0.627141014536889,0.4707816
3333,XPO4,0.627141014536889,-0.9214206,XPO4,0.627141014536889,0.9214206
3334,ZMAT2,0.627141014536889,-0.2477969,ZMAT2,0.627141014536889,0.2477969
3335,IGHV4-39,0.6271725112900328,-0.57541376,IGHV4-39,0.6271725112900328,0.57541376
3336,ZBTB1,0.6274560126413268,-0.79363203,ZBTB1,0.6274560126413268,0.79363203
3337,WDR33,0.6275820309005382,-0.1747751,WDR33,0.6275820309005382,0.1747751
3338,C9ORF78,0.6276450441037884,0.06311736,C9ORF78,0.6276450441037884,-0.06311736
3339,FADS3,0.6280231803303503,-1.0935582,FADS3,0.6280231803303503,1.0935582
3340,PIEZO1,0.6280231803303503,-0.67233324,PIEZO1,0.6280231803303503,0.67233324
3341,FAM104A,0.628086212532403,-0.17091496,FAM104A,0.628086212532403,0.17091496
3342,MOB3A,0.628086212532403,0.1778361,MOB3A,0.628086212532403,-0.1778361
3343,ILF3-AS1,0.6284014142239365,-0.10243005,ILF3-AS1,0.6284014142239365,0.10243005
3344,KIF3B,0.628464462695831,-0.25020453,KIF3B,0.628464462695831,0.25020453
3345,NOA1,0.6285275138780326,-0.37803534,NOA1,0.6285275138780326,0.37803534
3346,IGHV3-21,0.6285905677701603,-0.6040147,IGHV3-21,0.6285905677701603,0.6040147
3347,SPHK2,0.6287166836826685,0.27958706,SPHK2,0.6287166836826685,-0.27958706
3348,PMF1,0.6287482143539037,-0.26628295,PMF1,0.6287482143539037,0.26628295
3349,CCND3,0.6287482143539037,0.37647098,CCND3,0.6287482143539037,-0.37647098
3350,TRNAU1AP,0.6288428104303058,-0.4612779,TRNAU1AP,0.6288428104303058,0.4612779
3351,PGM1,0.6290004840971045,0.021064978,PGM1,0.6290004840971045,-0.021064978
3352,LZTFL1,0.6291581746830641,-0.30928874,LZTFL1,0.6291581746830641,0.30928874
3353,RBM4B,0.6294736065886113,0.11114683,RBM4B,0.6294736065886113,-0.11114683
3354,GGCT,0.62959979828292,-0.3446055,GGCT,0.62959979828292,0.3446055
3355,SLC37A4,0.6300415543512348,-0.9571078,SLC37A4,0.6300415543512348,0.9571078
3356,APBA3,0.6300731134215964,-0.39157164,APBA3,0.6300731134215964,0.39157164
3357,SF3A2,0.6301362335876999,0.15728945,SF3A2,0.6301362335876999,-0.15728945
3358,C15ORF57,0.6303256102856066,0.1024514,C15ORF57,0.6303256102856066,-0.1024514
3359,DLG1,0.630420307744465,0.109952,DLG1,0.630420307744465,-0.109952
3360,NAP1L4,0.6305465804673485,-0.23803502,NAP1L4,0.6305465804673485,0.23803502
3361,IPO7,0.630609720875531,-0.37251213,IPO7,0.630609720875531,0.37251213
3362,C5ORF15,0.6307991582824448,0.29025763,C5ORF15,0.6307991582824448,-0.29025763
3363,UBA1,0.6308623094775944,-0.26379403,UBA1,0.6308623094775944,0.26379403
3364,PRR5,0.6310201992586831,0.12239442,PRR5,0.6310201992586831,-0.12239442
3365,ZNF302,0.6311149412121955,-0.47539023,ZNF302,0.6311149412121955,0.47539023
3366,MAP3K5,0.6311781058824294,0.560459,MAP3K5,0.6311781058824294,-0.560459
3367,AIFM1,0.6311781058824294,-0.45307654,AIFM1,0.6311781058824294,0.45307654
3368,ABCD4,0.6313360293428404,0.07813471,ABCD4,0.6313360293428404,-0.07813471
3369,TRIM24,0.6313676160547947,-0.68652654,TRIM24,0.6313676160547947,0.68652654
3370,MAP4,0.6314307914981921,-0.46773973,MAP4,0.6314307914981921,0.46773973
3371,NUP62,0.6315571504615973,0.1660961,NUP62,0.6315571504615973,-0.1660961
3372,RSL1D1,0.6315887418847961,0.0029713653,RSL1D1,0.6315887418847961,-0.0029713653
3373,SLC35A1,0.6316203339808375,-0.65231407,SLC35A1,0.6316203339808375,0.65231407
3374,STARD7,0.631651926749674,-0.18545653,STARD7,0.631651926749674,0.18545653
3375,NR2C2AP,0.6318099006840996,0.3187266,NR2C2AP,0.6318099006840996,-0.3187266
3376,MPST,0.6319362919370513,-0.09155462,MPST,0.6319362919370513,0.09155462
3377,MARCH7,0.6320626939470382,-0.33839762,MARCH7,0.6320626939470382,0.33839762
3378,MPZL1,0.632125898984959,-0.27995408,MPZL1,0.632125898984959,0.27995408
3379,UBP1,0.6321891067109855,-0.93606424,UBP1,0.6321891067109855,0.93606424
3380,POLG,0.632252317124733,-1.1603152,POLG,0.632252317124733,1.1603152
3381,GAMT,0.632252317124733,-0.4986745,GAMT,0.632252317124733,0.4986745
3382,COPS3,0.632283923339382,-0.2616526,COPS3,0.632283923339382,0.2616526
3383,PDE7A,0.6323155302258172,-0.37552068,PDE7A,0.6323155302258172,0.37552068
3384,CCDC92,0.6325051856492419,-1.8234621,CCDC92,0.6325051856492419,1.8234621
3385,PMS1,0.632568409495825,-0.57401824,PMS1,0.632568409495825,0.57401824
3386,TFPT,0.632568409495825,-0.37354785,TFPT,0.632568409495825,0.37354785
3387,SPIDR,0.632631636027821,0.65094155,SPIDR,0.632631636027821,-0.65094155
3388,VPS36,0.6326632503007286,-0.12366587,VPS36,0.6326632503007286,0.12366587
3389,URB1-AS1,0.632694865244845,-1.7796098,URB1-AS1,0.632694865244845,1.7796098
3390,PYGO2,0.6328529500318747,0.7648351,PYGO2,0.6328529500318747,-0.7648351
3391,AFMID,0.6328845690022331,-0.666045,AFMID,0.6328845690022331,0.666045
3392,NUDT1,0.6331375449124442,0.44145545,NUDT1,0.6331375449124442,-0.44145545
3393,COA1,0.6331691699189159,0.049371462,COA1,0.6331691699189159,-0.049371462
3394,SKAP2,0.6333905637337942,-0.47353852,SKAP2,0.6333905637337942,0.47353852
3395,ZNF672,0.6336436254416079,-0.03365325,ZNF672,0.6336436254416079,0.03365325
3396,TTC31,0.6338650895968381,-0.63754493,TTC31,0.6338650895968381,0.63754493
3397,IPO4,0.6338967300111955,0.7021178,IPO4,0.6338967300111955,-0.7021178
3398,FAM210B,0.63399165527005,0.21392313,FAM210B,0.63399165527005,-0.21392313
3399,ATP8A1,0.6340549421219555,-0.83690214,ATP8A1,0.6340549421219555,0.83690214
3400,TCTN1,0.6343714165190261,0.28467387,TCTN1,0.6343714165190261,-0.28467387
3401,FMC1,0.6344030676368566,-0.21375401,FMC1,0.6344030676368566,0.21375401
3402,IGFLR1,0.6346563006434751,-1.0832363,IGFLR1,0.6346563006434751,1.0832363
3403,TTBK2,0.6346563006434751,-1.4103928,TTBK2,0.6346563006434751,1.4103928
3404,KIAA1586,0.634972902034123,0.54445004,KIAA1586,0.634972902034123,-0.54445004
3405,NAPRT,0.6353529118331935,0.20293635,NAPRT,0.6353529118331935,-0.20293635
3406,PDHA1,0.6353529118331935,0.06338555,PDHA1,0.6353529118331935,-0.06338555
3407,DHX57,0.6354796031177112,-1.0673416,DHX57,0.6354796031177112,1.0673416
3408,BCCIP,0.6356379822284995,-0.30525106,BCCIP,0.6356379822284995,0.30525106
3409,AMDHD2,0.635669660050858,-0.18056762,AMDHD2,0.635669660050858,0.18056762
3410,PTEN,0.6362082849843308,-0.26288763,PTEN,0.6362082849843308,0.26288763
3411,BCDIN3D,0.6362399747984396,-0.6511989,BCDIN3D,0.6362399747984396,0.6511989
3412,U2AF2,0.6365252130782302,-0.28005353,U2AF2,0.6365252130782302,0.28005353
3413,GRK2,0.6366837020773577,-0.5709796,GRK2,0.6366837020773577,0.5709796
3414,INTS4,0.6366837020773577,-0.7946998,INTS4,0.6366837020773577,0.7946998
3415,COG3,0.6366837020773577,-0.2900885,COG3,0.6366837020773577,0.2900885
3416,CENPV,0.6366837020773577,-0.9246363,CENPV,0.6366837020773577,0.9246363
3417,ZNF32,0.6367154018725802,-0.26851863,ZNF32,0.6367154018725802,0.26851863
3418,ZNF260,0.6367788034580338,2.5572007,ZNF260,0.6367788034580338,-2.5572007
3419,GTF3C4,0.6368105052481676,-2.268178,GTF3C4,0.6368105052481676,2.268178
3420,CCDC30,0.6368739108230062,-2.1839542,CCDC30,0.6368739108230062,2.1839542
3421,LRRIQ3,0.6368739108230062,1.6258638,LRRIQ3,0.6368739108230062,-1.6258638
3422,RP11-798G7.6,0.6368739108230062,-1.6723264,RP11-798G7.6,0.6368739108230062,1.6723264
3423,HSF1,0.6369690241709625,-0.17649147,HSF1,0.6369690241709625,0.17649147
3424,TTC13,0.6370007299496063,-0.9514982,TTC13,0.6370007299496063,0.9514982
3425,CCDC138,0.637159268810576,1.0189135,CCDC138,0.637159268810576,-1.0189135
3426,CCZ1,0.6371909785759795,-0.30960158,CCZ1,0.6371909785759795,0.30960158
3427,CAPRIN2,0.6373495373663698,-1.4746268,CAPRIN2,0.6373495373663698,1.4746268
3428,IGKV1-16,0.6373812511167817,1.2159462,IGKV1-16,0.6373812511167817,-1.2159462
3429,DBT,0.6374446806095503,0.17570432,DBT,0.6374446806095503,-0.17570432
3430,ARHGAP21,0.637571547561503,0.6045442,ARHGAP21,0.637571547561503,-0.6045442
3431,ECI1,0.6377935902782143,-0.16408618,ECI1,0.6377935902782143,0.16408618
3432,EFR3A,0.6378570370254311,-0.6128795,EFR3A,0.6378570370254311,0.6128795
3433,OPN3,0.6378887613939647,0.21553114,OPN3,0.6378887613939647,-0.21553114
3434,IGHV3-30,0.6380156654997984,-1.4314458,IGHV3-30,0.6380156654997984,1.4314458
3435,RASSF5,0.6380156654997984,-0.2617307,RASSF5,0.6380156654997984,0.2617307
3436,SAMD4B,0.6382377732095417,0.017182697,SAMD4B,0.6382377732095417,-0.017182697
3437,FDXR,0.6383329721692139,-0.7729242,FDXR,0.6383329721692139,0.7729242
3438,SLC25A20,0.6385868652096834,0.6820428,SLC25A20,0.6385868652096834,-0.6820428
3439,PPAN,0.6387455698812992,0.30425835,PPAN,0.6387455698812992,-0.30425835
3440,ARHGAP25,0.6387773128015225,-0.42139444,ARHGAP25,0.6387773128015225,0.42139444
3441,LINC01353,0.6389042911004562,-0.64367425,LINC01353,0.6389042911004562,0.64367425
3442,RP11-166P13.3,0.6390947783976044,0.27362475,RP11-166P13.3,0.6390947783976044,-0.27362475
3443,RRP36,0.6390947783976044,-0.58044314,RRP36,0.6390947783976044,0.58044314
3444,SCAMP1,0.6390947783976044,-0.7771079,SCAMP1,0.6390947783976044,0.7771079
3445,PSMD5,0.6392852895038696,-0.7715188,PSMD5,0.6392852895038696,0.7715188
3446,RUNDC1,0.6395393413303803,0.7187684,RUNDC1,0.6395393413303803,-0.7187684
3447,PLEKHF2,0.6396028608947852,0.32126108,PLEKHF2,0.6396028608947852,-0.32126108
3448,ST8SIA4,0.6396028608947852,-0.39227194,ST8SIA4,0.6396028608947852,0.39227194
3449,CASC3,0.6396028608947852,-0.5950238,CASC3,0.6396028608947852,0.5950238
3450,NSFL1C,0.6397616713651275,-0.18941885,NSFL1C,0.6397616713651275,0.18941885
3451,CDK19,0.6399522657201344,-1.1856155,CDK19,0.6399522657201344,1.1856155
3452,TAZ,0.6403335257042895,-0.43469647,TAZ,0.6403335257042895,0.43469647
3453,PRDM2,0.6403653016572668,-0.25832886,PRDM2,0.6403653016572668,0.25832886
3454,TMEM8B,0.640428855541393,1.5025729,TMEM8B,0.640428855541393,-1.5025729
3455,PSMF1,0.6404924120627546,0.12392281,PSMF1,0.6404924120627546,-0.12392281
3456,MTX3,0.6404924120627546,-0.82514894,MTX3,0.6404924120627546,0.82514894
3457,ACOT13,0.6405559712209596,-0.24690212,ACOT13,0.6405559712209596,0.24690212
3458,MBNL1,0.6406195330156158,-0.20239264,MBNL1,0.6406195330156158,0.20239264
3459,SGSM3,0.6408102342143673,0.18540086,SGSM3,0.6408102342143673,-0.18540086
3460,PMPCB,0.641032748917278,-0.08538905,PMPCB,0.641032748917278,0.08538905
3461,UBR1,0.6414460760846268,-0.7953819,UBR1,0.6414460760846268,0.7953819
3462,LINC01136,0.6417004865214413,1.206709,LINC01136,0.6417004865214413,-1.206709
3463,DAPP1,0.6418277075177088,-0.32622626,DAPP1,0.6418277075177088,0.32622626
3464,TOR4A,0.6419231301651419,-1.0392295,TOR4A,0.6419231301651419,1.0392295
3465,PLAG1,0.6420185587255849,0.61943924,PLAG1,0.6420185587255849,-0.61943924
3466,PTER,0.6423366966150764,-0.7182167,PTER,0.6423366966150764,0.7182167
3467,COQ9,0.6425276108572664,-0.49064,COQ9,0.6425276108572664,0.49064
3468,LMF2,0.6427503739900717,-0.29807574,LMF2,0.6427503739900717,0.29807574
3469,PATZ1,0.6428458537409318,-1.024153,PATZ1,0.6428458537409318,1.024153
3470,BZW1,0.6431323283891384,-0.22346102,BZW1,0.6431323283891384,0.22346102
3471,RP11-275I4.2,0.6431323283891384,-0.49257368,RP11-275I4.2,0.6431323283891384,0.49257368
3472,PIK3R5,0.6431323283891384,-0.7618372,PIK3R5,0.6431323283891384,0.7618372
3473,PIM3,0.6431641621819104,-0.25665596,PIM3,0.6431641621819104,0.25665596
3474,CCT8,0.6432278317326452,-0.119901925,CCT8,0.6432278317326452,0.119901925
3475,ATXN10,0.6432278317326452,-0.0910224,ATXN10,0.6432278317326452,0.0910224
3476,JARID2,0.6433233409709843,-0.5104411,JARID2,0.6433233409709843,0.5104411
3477,RNF166,0.6434825361308929,0.16143626,RNF166,0.6434825361308929,-0.16143626
3478,ECD,0.6435462187773081,-1.3636672,ECD,0.6435462187773081,1.3636672
3479,M6PR,0.6436735919235982,-0.24890864,M6PR,0.6436735919235982,0.24890864
3480,APRT,0.6438009755385343,-0.06041468,APRT,0.6438009755385343,0.06041468
3481,RNF123,0.6438009755385343,0.9721327,RNF123,0.6438009755385343,-0.9721327
3482,DGCR2,0.6439283696189552,-0.38857195,DGCR2,0.6439283696189552,0.38857195
3483,CNPY3,0.6439920705827342,-0.25783363,CNPY3,0.6439920705827342,0.25783363
3484,CTNNBIP1,0.6440876269317519,-0.23713525,CTNNBIP1,0.6440876269317519,0.23713525
3485,MALSU1,0.6442469005857505,-0.22940703,MALSU1,0.6442469005857505,0.22940703
3486,ATP6V1A,0.6444061905747707,-0.4230391,ATP6V1A,0.6444061905747707,0.4230391
3487,NUFIP1,0.6444380505322332,-1.2190688,NUFIP1,0.6444380505322332,1.2190688
3488,PPM1G,0.64456549689263,-0.114806846,PPM1G,0.64456549689263,0.114806846
3489,KDM2A,0.6446292239904633,-0.23710872,KDM2A,0.6446292239904633,0.23710872
3490,SYNRG,0.6446610885186156,0.0674912,SYNRG,0.6446610885186156,-0.0674912
3491,BCL3,0.6446610885186156,0.45755097,BCL3,0.6446610885186156,-0.45755097
3492,NCOA2,0.6447566860194208,0.20913506,NCOA2,0.6447566860194208,-0.20913506
3493,ZMIZ1,0.6448841584901257,-1.3393741,ZMIZ1,0.6448841584901257,1.3393741
3494,ETS1,0.6450116413994091,0.28344065,ETS1,0.6450116413994091,-0.28344065
3495,API5,0.6450435137573864,-0.37934348,API5,0.6450435137573864,0.37934348
3496,SPSB3,0.6451391347441013,-0.08204459,SPSB3,0.6451391347441013,0.08204459
3497,NFYB,0.6452028853287348,-0.53756696,NFYB,0.6452028853287348,0.53756696
3498,GAA,0.6452985160949296,-0.9337887,GAA,0.6452985160949296,0.9337887
3499,LRP10,0.6453941527270279,-0.12320598,LRP10,0.6453941527270279,0.12320598
3500,TTC32,0.6454260329076971,-0.3086895,TTC32,0.6454260329076971,0.3086895
3501,MMGT1,0.6455854435835818,-0.28466064,MMGT1,0.6455854435835818,0.28466064
3502,SMAD2,0.6457129838483621,-0.28259215,SMAD2,0.6457129838483621,0.28259215
3503,GPAA1,0.6461275616414717,-0.12928449,GPAA1,0.6461275616414717,0.12928449
3504,KLF12,0.6462551461606373,-0.39659697,KLF12,0.6462551461606373,0.39659697
3505,YEATS4,0.6464146414404865,-0.33607745,YEATS4,0.6464146414404865,0.33607745
3506,DIS3,0.6464784441029843,0.09507219,DIS3,0.6464784441029843,-0.09507219
3507,ACP2,0.6465422493652042,0.0061849514,ACP2,0.6465422493652042,-0.0061849514
3508,CDC5L,0.6466698676872215,0.14242376,CDC5L,0.6466698676872215,-0.14242376
3509,TEFM,0.6467655882500479,-0.5276194,TEFM,0.6467655882500479,0.5276194
3510,ZNF226,0.6467655882500479,-0.4663735,ZNF226,0.6467655882500479,0.4663735
3511,EIF3L,0.6469570469104038,-0.026841901,EIF3L,0.6469570469104038,0.026841901
3512,TMEM123,0.6469889589595664,-0.18415879,TMEM123,0.6469889589595664,0.18415879
3513,CDC23,0.647180444884635,-0.9864012,CDC23,0.647180444884635,0.9864012
3514,MAPK14,0.6473081151454048,0.0077149714,MAPK14,0.6473081151454048,-0.0077149714
3515,DENND2D,0.6473719541678118,-0.45317078,DENND2D,0.6473719541678118,0.45317078
3516,UBQLN1,0.6474038746518467,-0.334939,UBQLN1,0.6474038746518467,0.334939
3517,SYPL1,0.647691188184135,0.29877588,SYPL1,0.647691188184135,-0.29877588
3518,MSRB1,0.6477550427654672,-0.2115188,MSRB1,0.6477550427654672,0.2115188
3519,ATP13A3,0.6477550427654672,-0.52383375,ATP13A3,0.6477550427654672,0.52383375
3520,ADAL,0.6477550427654672,-0.8065699,ADAL,0.6477550427654672,0.8065699
3521,LRRC37B,0.6477550427654672,0.53463376,LRRC37B,0.6477550427654672,-0.53463376
3522,PAPD7,0.64788275970301,-0.86137056,PAPD7,0.64788275970301,0.86137056
3523,MRPL14,0.6480104870043982,0.052876428,MRPL14,0.6480104870043982,-0.052876428
3524,CXORF40A,0.6480743545405372,-0.57534724,CXORF40A,0.6480743545405372,0.57534724
3525,TXN2,0.6483937310597181,-0.110391766,TXN2,0.6483937310597181,0.110391766
3526,CCL25,0.6484576141284573,0.68921626,CCL25,0.6484576141284573,-0.68921626
3527,RASSF7,0.6484895566331155,0.34687778,RASSF7,0.6484895566331155,-0.34687778
3528,KLHL21,0.648521499784566,-0.82531434,KLHL21,0.648521499784566,0.82531434
3529,C21ORF91,0.6485853880276444,0.01061185,C21ORF91,0.6485853880276444,-0.01061185
3530,MTO1,0.6489368195888103,-0.37071046,MTO1,0.6489368195888103,0.37071046
3531,MRPL17,0.6489687717901107,-0.20462772,MRPL17,0.6489687717901107,0.20462772
3532,RAD51D,0.6490965870552434,-0.6912438,RAD51D,0.6490965870552434,0.6912438
3533,SCRN3,0.6491285424862596,-1.4516871,SCRN3,0.6491285424862596,1.4516871
3534,MBNL2,0.649160498563069,-0.09350271,MBNL2,0.649160498563069,0.09350271
3535,EXOSC9,0.649160498563069,-0.5246574,EXOSC9,0.649160498563069,0.5246574
3536,HAUS2,0.6493522485827821,0.5680938,HAUS2,0.6493522485827821,-0.5680938
3537,ACTR5,0.6494800948387869,-1.0295413,ACTR5,0.6494800948387869,1.0295413
3538,TNK2,0.6495440218384476,0.09080862,TNK2,0.6495440218384476,-0.09080862
3539,TBC1D15,0.649671883579084,-0.36107928,TBC1D15,0.649671883579084,0.36107928
3540,IDNK,0.649671883579084,0.36983666,IDNK,0.649671883579084,-0.36983666
3541,CDIPT,0.6497358183192588,-0.034167893,CDIPT,0.6497358183192588,0.034167893
3542,TUBB,0.6497358183192588,-0.1320203,TUBB,0.6497358183192588,0.1320203
3543,CLASRP,0.6500555307026784,-0.43101507,CLASRP,0.6500555307026784,0.43101507
3544,CTC1,0.6501194809130668,-1.3263366,CTC1,0.6501194809130668,1.3263366
3545,MIR22HG,0.6502473890643421,-0.54337496,MIR22HG,0.6502473890643421,0.54337496
3546,BICD2,0.650279367712389,-0.5213605,BICD2,0.650279367712389,0.5213605
3547,NARFL,0.650279367712389,-0.6090929,NARFL,0.650279367712389,0.6090929
3548,HEATR5A,0.6504072887439858,-1.2875146,HEATR5A,0.6504072887439858,1.2875146
3549,CKLF,0.6506951487219328,-0.17889056,CKLF,0.6506951487219328,0.17889056
3550,CLSTN1,0.6508231032188994,-0.41920796,CLSTN1,0.6508231032188994,0.41920796
3551,NHLRC3,0.6510150542574973,-0.2164077,NHLRC3,0.6510150542574973,0.2164077
3552,C12ORF4,0.6510790430802631,-0.533987,C12ORF4,0.6510790430802631,0.533987
3553,CEP63,0.6512390263841928,-0.2106275,CEP63,0.6512390263841928,0.2106275
3554,SMIM19,0.6516870650657454,0.06713332,SMIM19,0.6516870650657454,-0.06713332
3555,DMXL1,0.6517190726437129,-0.3583258,DMXL1,0.6517190726437129,0.3583258
3556,PPP3CB,0.6517190726437129,-0.5173754,PPP3CB,0.6517190726437129,0.5173754
3557,KLHL20,0.6521672460942163,-0.4794825,KLHL20,0.6521672460942163,0.4794825
3558,SOAT1,0.6523593588998474,-0.3959377,SOAT1,0.6523593588998474,0.3959377
3559,HLA-G,0.6523593588998474,-0.8518231,HLA-G,0.6523593588998474,0.8518231
3560,RYBP,0.6524234016280651,-0.36560374,RYBP,0.6524234016280651,0.36560374
3561,MBD2,0.6525194705249511,-0.3568436,MBD2,0.6525194705249511,0.3568436
3562,PRSS16,0.6527116256101508,-0.31500176,PRSS16,0.6527116256101508,0.31500176
3563,SND1,0.6527436536985778,-0.12037586,SND1,0.6527436536985778,0.12037586
3564,CREB1,0.6527436536985778,0.1715337,CREB1,0.6527436536985778,-0.1715337
3565,POLDIP2,0.6528077117957438,-0.14518397,POLDIP2,0.6528077117957438,0.14518397
3566,SLC25A12,0.6528717724529904,-0.57731956,SLC25A12,0.6528717724529904,0.57731956
3567,JMY,0.6529358356699143,-0.25521907,JMY,0.6529358356699143,0.25521907
3568,C16ORF58,0.6530639697811806,-0.32185212,C16ORF58,0.6530639697811806,0.32185212
3569,CCT3,0.6532241518112626,-0.16614823,CCT3,0.6532241518112626,0.16614823
3570,ATP8B2,0.6532241518112626,-0.8287304,ATP8B2,0.6532241518112626,0.8287304
3571,PSMD12,0.6534163913458368,-0.22919121,PSMD12,0.6534163913458368,0.22919121
3572,SUPT20H,0.6534484335052766,0.168831,SUPT20H,0.6534484335052766,-0.168831
3573,SBF1,0.6535125197411398,-1.1961768,SBF1,0.6535125197411398,1.1961768
3574,ADAT2,0.6537688902369683,-1.4395642,ADAT2,0.6537688902369683,1.4395642
3575,RINT1,0.6538650397096486,0.31978095,RINT1,0.6538650397096486,-0.31978095
3576,IGKJ1,0.6539611949275228,23.240423,IGKJ1,0.6539611949275228,-23.240423
3577,DNM2,0.6539932479432882,-0.27124974,DNM2,0.6539932479432882,0.27124974
3578,PCNT,0.6542176369190924,0.74267083,PCNT,0.6542176369190924,-0.74267083
3579,CSGALNACT2,0.6542817537959852,-0.34691396,CSGALNACT2,0.6542817537959852,0.34691396
3580,CCNT1,0.6544099952017397,-0.73344195,CCNT1,0.6544099952017397,0.73344195
3581,PHTF2,0.6544741197297925,-0.99336344,PHTF2,0.6544741197297925,0.99336344
3582,FBXW2,0.6545382468074223,-0.37564445,FBXW2,0.6545382468074223,0.37564445
3583,LRCH4,0.6547306433337291,0.4345508,LRCH4,0.6547306433337291,-0.4345508
3584,WDR43,0.6547947806056207,-0.24876282,WDR43,0.6547947806056207,0.24876282
3585,ATG10,0.6549872077049943,0.21608107,ATG10,0.6549872077049943,-0.21608107
3586,C12ORF43,0.6550513551646682,-0.5704813,C12ORF43,0.6550513551646682,0.5704813
3587,KIAA0907,0.6550513551646682,-0.20324938,KIAA0907,0.6550513551646682,0.20324938
3588,YARS,0.6551155051702748,-0.26780096,YARS,0.6551155051702748,0.26780096
3589,NOTCH2,0.6551155051702748,-1.1516472,NOTCH2,0.6551155051702748,1.1516472
3590,MIR155HG,0.6551796577214092,0.17095234,MIR155HG,0.6551796577214092,-0.17095234
3591,AP001058.3,0.655307970458639,-0.31398463,AP001058.3,0.655307970458639,0.31398463
3592,USP32,0.6553721306439239,0.66900426,USP32,0.6553721306439239,-0.66900426
3593,UBA3,0.6555004586458063,0.04224588,UBA3,0.6555004586458063,-0.04224588
3594,HMG20A,0.6555646264615926,0.42653093,HMG20A,0.6555646264615926,-0.42653093
3595,C14ORF1,0.6557571451634648,-0.086605884,C14ORF1,0.6557571451634648,0.086605884
3596,MB21D1,0.6558213231475741,-0.45657238,MB21D1,0.6558213231475741,0.45657238
3597,LINC01089,0.6558855036727498,-1.2877303,LINC01089,0.6558855036727498,1.2877303
3598,SLC35B2,0.6559175948881104,-0.34052774,SLC35B2,0.6559175948881104,0.34052774
