,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
9716,GALNT12,0.75449292989325,-1.63678,NQO1,0.8927850151156805,0.04345982,ARL6,0.5749049712297756,0.93674654,PRPS2,0.9147951152676922,-0.2050775
9717,PSMD9,0.7545042680668214,-1.4723704,STXBP4,0.89286658032031,-0.3027022,SPAG4,0.5749049712297756,0.9952264,TONSL,0.9148072531665816,0.8379229
9718,HIP1,0.7545496212901597,0.43127126,CSF1,0.8928854032208002,0.08187683,DPYD,0.5749505623226345,-0.028711932,ZNF213,0.9148315290239574,1.0020629
9719,ZNF28,0.7548841274411529,-0.34374774,PLTP,0.8928916775343727,0.67802596,UAP1L1,0.5749505623226345,0.47786966,CYTH4,0.9149164951502455,-0.1013011
9720,SCLY,0.7549068074891125,-0.17804472,SPAG1,0.8929042261816286,0.7566516,FNDC1,0.5754612993345949,4.078739,BRD8,0.9149286332476743,0.21936907
9721,LINC01504,0.755093925945769,2.5423093,CCDC102B,0.8929983418904737,-0.51076406,NT5M,0.5755342792604037,3.5503526,C22ORF29,0.9149407713649416,0.25409868
9722,TRIM65,0.7550995964264364,-0.10165602,LIMD1,0.8930234396673817,-0.19029003,PTPRS,0.5755525249250288,3.6487038,TMEM229B,0.9151228455026591,0.5821631
9723,PPIAL4G,0.7551619725847165,2.7249854,RP11-332H14.2,0.8930548120391668,0.08572861,HIST1H3I,0.5755707708629049,3.5291305,TM9SF1,0.9151713993585965,0.12016631
9724,RBBP9,0.7551789845413341,-0.23554474,CXORF57,0.8931112827300537,-0.4253982,CCNI2,0.5755890170740234,3.540446,LAMB1,0.9152199535310507,0.7160967
9725,KLHL3,0.7552356919208941,-0.16519348,GATSL3,0.8932054017523055,-0.59595096,ZNF788,0.5755890170740234,3.4077947,DGKG,0.9152199535310507,0.6815651
9726,CH17-264L24.1,0.7558482156083731,0.75946146,ZNF287,0.8932116764072789,-0.34657967,AC011747.4,0.5755890170740234,3.7299092,BCS1L,0.9153292015754062,-0.53799415
9727,TRIM68,0.7558538878417367,-0.552103,APPL2,0.8932555991792248,-0.040454004,GOLGA1,0.5757441208994178,-0.020396763,ZNF418,0.9153292015754062,-1.3739889
9728,ZNF385A,0.7559730077816742,1.3737302,FAM234A,0.8932869727882053,-0.03691527,CHD7,0.5767025522970606,-0.70635986,ANKEF1,0.9153656179457166,0.47903365
9729,KIFC2,0.7560013705271841,-2.1461883,PAM,0.893330896121302,0.069114946,PUS7,0.5771318080322371,0.34784183,SULT1A1,0.9154141733824404,0.9268814
9730,NAV1,0.7560524242976313,-2.1935115,AKTIP,0.8933810946168625,0.2559237,WWC3,0.5771683473849637,-0.81129307,CPEB2,0.9154141733824404,0.5651932
9731,EPB41L4A,0.7560580970045412,-2.1085668,HIST2H2AA4,0.8934501182456064,-0.3889708,CRTC1,0.5772962437013975,0.23731495,IMPDH1,0.9154141733824404,-0.18825586
9732,HBEGF,0.7560580970045412,-1.8568823,CNTNAP2,0.8935065927239304,-0.5802939,PRRG2,0.5774424272635744,1.5282037,WDR20,0.9154991461560542,-0.2558748
9733,TSPAN18,0.7560694424578074,-1.9475019,TMEM80,0.893537967667432,0.14843811,KIAA0513,0.5774972505929319,1.5400115,ZNF582,0.9154991461560542,-1.2271843
9734,FGF14-AS2,0.7560921335221158,-1.5875463,UCN,0.8936069931294883,0.48498952,HIST2H4A,0.5775155255806507,1.3453114,TMEM79,0.9154991461560542,-1.3492225
9735,GNRH1,0.7560921335221158,-1.564751,DCAF4,0.8936320934973241,-0.1278479,IGLV3-25,0.5775155255806507,1.6657403,TDP1,0.9155112852025616,-0.19588317
9736,ZNF623,0.7562055919985919,0.20518878,KIAA1109,0.8937952484837877,0.17039973,SH3BP2,0.5779907708068934,-0.7170886,RP11-631N16.4,0.9155598415855996,0.27814996
9737,RUFY2,0.7568580801780644,0.13333078,ANGEL1,0.8938454509225238,-0.29390976,ZNF224,0.5782467482666964,-1.274243,FAM231D,0.9155598415855996,0.47478306
