,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
4697,DCTD,0.05683382027675278,-0.30047962,PHF11,0.4543232024258421,-0.024388226,EXOC4,0.00014041132748468968,0.83430594,N4BP2,0.5750675385677143,-1.1902149
4698,AKT1,0.05688722619539744,-0.98902535,PAXBP1,0.45439020335065095,-0.45560214,SYNGR2,0.00014167678623163687,0.06834973,LIMD1,0.5751405676177965,-1.2241651
4699,NHLRC2,0.05701265118216373,-0.84619844,TMEM97,0.45449071517918715,-0.30116105,CLASP1,0.0001420140055177145,1.290131,ZNF678,0.5751718671241862,0.83296525
4700,TXLNA,0.05710321648655651,-1.0246135,CDC34,0.45464868765051536,-0.65789026,ITGB7,0.00014239043480101547,0.89388883,WDR44,0.575182300471913,1.2934761
4701,IL23A,0.05713830613667556,-1.2994545,ZNF296,0.45468220093946254,0.69658005,UBC,0.00014255974935688533,0.7072744,NAT10,0.5751927339091022,0.6013367
4702,LIMK1,0.057155857686431145,-1.2665578,RCHY1,0.45498388316526595,-0.1549127,METTL15,0.0001429529808153707,1.0870738,EIF3C,0.5753596810696376,0.87276125
4703,EXOSC5,0.057156832904003224,-0.1843509,ZNF506,0.4550700987887615,-0.2767285,ZNF444,0.00014398327776271992,1.4170439,RNF139-AS1,0.5755475239916519,-2.9344828
4704,KIAA1429,0.05716463514284555,-0.1697111,BANP,0.4550844689537503,-0.32084453,SNTB2,0.00014460636915236387,1.698924,RHOF,0.5755997077222286,-0.3284337
4705,PUS10,0.05718804717480473,-1.2891613,NDRG3,0.45527130435098695,-0.46375638,GTPBP3,0.0001447000515782357,1.3481051,BLVRA,0.5757667106774454,-1.839089
4706,USO1,0.057232942528066974,-0.0178073,DDX11,0.4553815095696979,-0.14017531,TLK2,0.0001448719511478801,1.2230674,PEX3,0.575912857030864,0.67120844
4707,ARHGAP4,0.057233918839466706,-0.044720586,FAM98A,0.4554246374383919,-0.27857566,PLEKHA3,0.0001462383113360951,0.38514322,SUPT7L,0.5762678567854844,0.74949163
4708,UAP1,0.05748039125297716,-1.2387521,HK1,0.4556978339917658,-0.02161369,TNIP3,0.00014644351916463552,7.092778,SRP68,0.576278299517598,0.3831813
4709,ALKBH3,0.0574960700457998,-0.8964035,RASGEF1B,0.45571700914184354,0.44135067,NRDE2,0.0001464751136553616,0.7187486,C14ORF80,0.5764976175144854,-1.0231321
4710,RAB3IP,0.05756274459139465,-0.88166416,KBTBD8,0.45590878561133774,-0.23198602,PDCD1,0.00014672810074026324,6.936528,RLF,0.5765393968340519,0.41128254
4711,HIST1H2AM,0.05765894744700838,-24.800882,CAAP1,0.45592317067650767,-0.26052395,ATF5,0.00014687850642896704,2.254052,ZNF268,0.5766020684906903,-1.3657713
4712,DTL,0.05765894744700838,-24.914759,NUP107,0.4560046908684935,0.06507894,VAMP1,0.00014703698503144922,2.0130968,CTLA4,0.5767483148483078,-24.770157
4713,NEIL3,0.05765894744700838,-24.87623,POLR2I,0.45630686658930064,0.10466772,MYO9A,0.00014748158210075403,1.2594392,SCN3A,0.5767483148483078,-25.192621
4714,RPE,0.05767663188084056,-0.6628606,MTRNR2L12,0.45631646131281556,0.40622103,FTSJ3,0.0001492324575309293,1.0999601,CST7,0.5767483148483078,-24.752398
4715,NUDT4,0.05771201427560499,0.03485455,PIP5K1A,0.45635963897235743,-0.27298388,ALG3,0.00014961881689702877,1.1212968,RANGRF,0.5767587616858418,0.30270028
4716,RBM4B,0.05771299737741254,-0.23095235,LRPAP1,0.45665234809126387,0.37319097,SYTL2,0.00014970749012267585,4.1506596,DICER1,0.5768841306940493,0.09344612
4717,CD46,0.05774446398641588,-0.12343832,C4ORF36,0.45673394156041114,1.4688191,SIGMAR1,0.0001498526984956834,2.2702258,ZSCAN5A,0.5769468200145148,1.7058222
4718,BTBD10,0.05780350231701075,-0.6999781,TMEM138,0.4570363887862122,-0.033784732,STX18,0.0001500869242597958,1.2199227,MOB2,0.5769886146784158,0.45487574
4719,CPSF2,0.057946385440941287,-0.4699775,ENDOD1,0.4572813093972149,-0.4180622,PREP,0.0001512876608711048,1.5691875,AKAP11,0.5769990635673243,0.35765767
4720,MRPS28,0.05797499726015427,-0.48350912,CPTP,0.45732934168802963,-0.34093946,ARV1,0.0001524072084113973,0.9770295,CCNL1,0.5770304107690634,0.102109425
4721,R3HCC1L,0.05802929330353866,-0.78553927,ARMC10,0.4573581624223627,-0.07008852,ADAM19,0.0001533200014557239,0.38741034,CCZ1B,0.5771662579158348,0.5070953
4722,CRTC3,0.05820332467877519,1.0839943,STAT2,0.4575743504354781,-0.2886574,POM121,0.00015385690636722236,1.0673218,KDSR,0.577291668653622,-0.5029335
4723,AHR,0.05823105142957058,-2.1653147,ZC3H18,0.45759356992359024,-0.06843529,ECI2,0.0001554281325810469,0.7671402,ZMYM5,0.5774693558335604,0.28496513
4724,CUL2,0.05828455543885994,-0.4503999,ESCO1,0.45761759492098475,-0.15037368,PTRH1,0.0001556789181455969,1.9842104,ZRANB3,0.5776470687616945,0.9797047
4725,PITPNA,0.05829843351353674,-1.4103341,TRAPPC6B,0.45788672326146007,-0.24887456,CDC34,0.00015588819699734608,2.6288722,CTTN,0.5781908209957359,4.6221886
4726,APPL1,0.058334132597356515,0.5353811,CANT1,0.45796363338303225,-0.36224386,ICE2,0.00015808893806387026,0.47535577,TOPBP1,0.5784627873508281,-0.59048635
4727,GTF2A1,0.05839069328513009,-0.6000667,RPP38,0.45806458891672,-0.14759988,MED13,0.00015808893806387026,1.0026438,CDK5RAP2,0.5785255573560903,-0.40960824
4728,ARHGEF7,0.05846717215708554,-0.16101295,RMND5B,0.45808381995768,-0.1528132,RNF14,0.00015893132489810529,0.9367762,C14ORF37,0.5786301811452172,0.9078994
4729,HNRNPLL,0.058492020844725115,-1.9024258,AGPAT1,0.4582040242252027,-0.298796,FAM26F,0.00015935837651970676,-1.8643285,CLSPN,0.578776669385898,-0.4050016
4730,ACAD9,0.05859050780725385,-1.3647412,CCDC107,0.45824730209231723,0.030575242,POLA1,0.00015989799912951224,2.9948592,PSMB5,0.5789127097798332,0.1250124
4731,IDNK,0.05862635537673496,-1.237527,SNX17,0.4584300561388486,0.016102958,TIGAR,0.00016015556621325655,1.7641939,PIKFYVE,0.5789231750475929,0.3347301
4732,TATDN1,0.058655245829948265,-0.1011121,WDR43,0.458545500801959,-0.108949445,CEP44,0.0001606374030298114,1.2840976,RNF103,0.5789441058496875,1.0962583
4733,TNFRSF18,0.05874099049214018,-3.421389,ANKRD28,0.45857436451440703,-0.2423018,CASP1,0.00016093061198675844,0.35251862,TMX2,0.5791429661943621,-0.37993413
4734,TTC19,0.05875495877159032,-0.00030059862,UBA7,0.45857436451440703,0.50839424,INTS8,0.00016166583918129592,0.82875335,PTTG1IP,0.579530312560256,0.52083606
4735,WDR46,0.058813855399169,-0.111512065,EMC7,0.4587042638252854,0.37249452,HEXB,0.00016318950574719052,0.73236763,C18ORF8,0.5796140791057127,0.43392476
4736,ARHGAP9,0.058820846386477006,0.052830156,ZFPL1,0.4588582452706045,-0.33179164,JAML,0.00016331198097564853,4.6070933,NAPSA,0.579655964508423,1.9462171
4737,WIPF2,0.058830834708072204,-0.091154724,CTDSPL2,0.45888230748806347,-0.15856223,MTO1,0.0001644181565234714,0.868187,GTF2B,0.5796873794922337,0.1261293
4738,GINS3,0.05885081557603675,-2.3330283,RARS2,0.45922406728336007,-0.21239011,PELP1,0.00016466492878059453,1.2618335,PRDM1,0.5796978513309765,-0.71699876
4739,GPT2,0.058903792126543515,-2.823168,DDX23,0.4593925928773446,-0.05362715,CHD1L,0.0001655225156372941,0.8476446,TOM1,0.5798758861644235,1.2058444
4740,C18ORF8,0.05930992150550699,-0.50411165,C16ORF91,0.4595900526196145,-0.1007061,FBXO33,0.00016624186253871693,1.5590992,PRPF31,0.5799282542298526,0.22600068
4741,BNIP3,0.0593541838117172,-0.652322,UBE2M,0.4599417448905655,-0.05533336,GLT8D1,0.00016740252097126215,1.0564518,RNPEP,0.5800748966089421,-0.41152868
4742,PCIF1,0.05939545290132862,-0.46572986,ARL4A,0.46008150005172554,-0.18227722,GNB1L,0.00016809357823415708,1.8400185,DPM3,0.580127273099359,0.35560417
4743,ISCA1,0.05952343755358924,-0.1380485,GATAD2A,0.46008150005172554,-0.16913989,MAP2K7,0.00017116806330689,0.5960828,CD96,0.5801691758876486,-1.2198573
4744,BLOC1S5,0.059538568947980604,-0.32612866,GPATCH4,0.4600863196190095,-0.077055,IFITM3,0.00017123210212215684,0.9512858,EIF2AK1,0.580326323976448,0.2122786
4745,PRRG4,0.05969410257974205,-3.5652337,KLHL22,0.4601104178792008,-1.0972214,NOL9,0.00017169017800766813,1.5768158,SYNE3,0.5803891887960629,0.49198142
4746,C4ORF46,0.05977098355639024,-1.4139528,RALGAPB,0.46012487717432804,-0.56121856,UNC13D,0.00017463994623328103,1.2959392,DENND1A,0.5804520568060376,1.6767156
4747,INSIG2,0.05978819185241498,-0.3341358,CCR9,0.4601586165183861,2.5532982,DHRSX,0.0001750879022389162,1.2855262,ZNF85,0.5805044492511648,0.5963034
4748,SLC27A5,0.05979932882177887,-0.71684486,CBLB,0.46042858109908613,-0.28564993,MDM4,0.00017583689765872875,-0.0050867633,EVI2A,0.5805463648021193,0.07845875
4749,NUDT16,0.059872267846401615,-0.5513957,COPS7A,0.4605009080801199,-0.0283167,HDHD2,0.00017692829464195406,0.51386595,CASC3,0.5805882817706027,0.34556586
4750,FTSJ1,0.05988747275999692,-0.77696353,NBAS,0.4605443073186626,-0.5812539,HECA,0.00017749530678222647,0.7839764,RP11-13P5.1,0.5806616398760494,1.7586929
4751,LUC7L,0.059950353714310164,-0.20325682,CTNNB1,0.4605539519045214,-0.0037612277,CEP192,0.00017897754549464225,1.8528705,RABL2B,0.5806721199597196,0.36870632
4752,PUSL1,0.06003461875942625,-1.5396141,THG1L,0.4606166444657812,-0.028525429,DOHH,0.00017899662390026699,1.2307594,SAC3D1,0.580693080392784,-0.1449627
4753,EHD4,0.060089494518291896,-0.5966377,PRAF2,0.46077098494617197,-0.33284768,CBLL1,0.0001793594771304845,1.3156337,DCTN1,0.5807140411801351,0.840272
4754,CDCA7L,0.060124067254969445,0.75837445,DENND2D,0.46134519222189174,0.024412878,ARHGAP17,0.00017939771241368014,0.96538013,ULK4,0.5807245217066639,-24.98464
4755,PLD3,0.06024520173929565,-1.0165521,HDAC8,0.46134519222189174,-0.25701898,RNF20,0.0001796368566235302,0.710543,SIRPG,0.5807245217066639,-24.324215
4756,SAYSD1,0.06027984873121272,-0.4188849,RIT1,0.46144173687227885,-0.16105644,SLC16A3,0.000180740785729362,1.4895977,NR4A3,0.5808922221750199,-1.033042
4757,MOB3B,0.06028086801039532,1.0947247,CWC25,0.4617700730893457,0.012636885,ALDH9A1,0.00018164786209551407,-0.09095281,CH17-264L24.1,0.5810599453094338,0.7290536
4758,RBM14,0.06031757157784249,0.0021241277,TBCD,0.46178939104616146,-0.9160406,CHD9,0.0001822096808109525,-0.058045954,AGTRAP,0.5813535153138365,-1.2553467
4759,RAD54L,0.06040226428922867,-4.24596,PSME1,0.46188115750316816,0.005571863,ATP2B1,0.00018316267446202486,-0.017443769,IMP3,0.5820247928449085,0.022462575
4760,CCDC97,0.0605340907666345,-0.51310664,SLC15A3,0.4619004780545083,1.1318666,IL7R,0.0001857532896044288,3.63352,PDZD2,0.5821402051293579,4.1512523
4761,TSPYL1,0.060638494386103595,-0.086245045,C1ORF174,0.462132359860974,-0.025461113,DYNC1LI2,0.0001867435471054048,0.6461559,FAM215B,0.5821506976852667,-0.47726855
4762,SPATS2L,0.06064464041956812,-1.7541807,PPP3CA,0.46221450024473243,-0.10621173,C9ORF85,0.00018720072995674248,0.9932702,FBXW8,0.5825179927803795,1.2472024
4763,MTHFD2L,0.06067742798361319,-0.777944,FARSA,0.4623401424722051,0.12041924,GPR137B,0.0001880582865464112,2.3156176,ZBTB11,0.5825494802497759,0.59508115
4764,LARS,0.06075740921468705,0.006832508,N4BP2L1,0.4624609702753999,-0.14496681,RNF149,0.000189150495874908,0.6283667,DHPS,0.5827384217473883,0.09223245
4765,AKT2,0.06077382641368252,-0.20569225,C8ORF82,0.4625044725967027,-0.27636012,HSPE1,0.00018989539056193635,-0.1114389,NAPG,0.582832903217761,0.505474
4766,STARD3,0.0607830627032603,-0.28654373,CDC25A,0.4625044725967027,-23.45129,ANAPC4,0.00019079492941195713,1.3373302,PMEPA1,0.5831373921156177,-2.1053162
4767,SNX1,0.06081283199282486,0.07710298,TNFRSF1B,0.4626011525944499,0.8662206,MRS2,0.00019258559555970824,0.8647704,DNAJC27,0.5832319037496597,0.76929253
4768,TRMU,0.06089912845735559,-0.5885188,CEACAM21,0.46260598689022814,-0.87967247,KYAT3,0.00019548769276366405,0.8929692,SEMA4B,0.5834839696807399,0.44820604
4769,PPP1R2,0.060911464801556514,-0.048334554,KEAP1,0.46277520499426894,-0.031714812,C16ORF72,0.00019553951723389517,0.6915564,RAP1GDS1,0.5835995168629636,-0.5890606
4770,MRPS18B,0.06092791648085316,0.03751255,SPAG9,0.46279454640385576,-0.17687182,UBAP2L,0.00019650580875158686,1.4711732,YPEL3,0.5837150747049643,-0.31566963
4771,GATM,0.06099684787475305,-1.069176,ALKBH2,0.4628090527568689,-0.30755982,MAPKAPK5-AS1,0.00019795841895158054,0.41888416,IGLV3-1,0.5837886170625941,2.2390943
4772,KDSR,0.06101640733688224,-0.29579958,RP11-553K8.2,0.4628138882642199,-0.9430669,TADA2A,0.00019897808137957373,1.9575241,DLL3,0.5838411499600691,2.2520182
4773,TRUB2,0.061050391382399496,-0.48616487,PLXNC1,0.46293962134366473,1.2507252,EXOC7,0.00019990740313026862,0.055850413,RMND5A,0.5838516568037442,0.6109929
4774,ERCC4,0.061126655030842136,-0.72236127,NLRP7,0.46297347581102666,-4.642483,EEF1AKMT1,0.0002003629851929838,1.5632244,PIGH,0.5838726707552608,0.26992097
4775,PRPF4,0.06114521757437865,-0.26665992,TMEM43,0.46364117421660145,0.5757058,LEPROT,0.00020145823290085884,0.6086851,SPTLC2,0.5839882537839929,0.33070725
4776,C12ORF29,0.061174101921856676,-0.60165346,AASDHPPT,0.46367505726502545,-0.035983615,CSTF2T,0.0002020988311973788,0.9459512,DNAJC5B,0.5839987618602956,1.1751596
4777,USP12,0.06119577259783561,-0.001563672,L3MBTL4,0.46378155582476477,-2.945199,SGSM3,0.00020558039155150492,0.28561684,TUBGCP3,0.5840513035622543,0.6707608
4778,RASA2,0.06127425295371418,0.9375087,STAMBP,0.46381544458691204,-0.032347955,ABHD10,0.00020641863690679644,1.1123265,YIPF2,0.5843455777538884,0.95775163
4779,UCKL1,0.06129905353347748,-0.9456331,BRI3,0.4639219611027612,0.8425394,UFSP2,0.00020703028518769326,0.9364904,EIF2B5,0.5843665999787049,0.23115629
4780,KLF3,0.06130525497708745,1.7914486,ZNF587,0.46400912111011017,-0.8067952,TRUB2,0.00020715063024564676,1.1049441,E2F3,0.5845453030956673,0.88999957
4781,LTBP3,0.06152677974894941,-0.5871317,SERINC2,0.4640527045326305,-2.8640656,GTDC1,0.00020781919165912768,2.1042597,LARGE2,0.5847135174814879,-25.147076
4782,ATG16L2,0.06162533237014414,-0.46658295,SBF2,0.4640817614138132,0.6062398,DNAJB14,0.00020817072231025486,0.002706995,THEM6,0.5847345458623245,1.0092686
4783,PARP10,0.06162740856589688,-0.43851608,CHD8,0.464173781553071,-0.09728475,DEDD2,0.00020961563206698747,0.2415219,FAM168B,0.5848607235314038,0.81454355
4784,CTB-133G6.1,0.0617916111038948,0.8265894,TJP2,0.46429972030675126,-2.6702504,WWOX,0.0002099589327865488,1.9671186,APH1A,0.5849027855670736,0.10647606
4785,BLNK,0.061812422031602164,-0.05237326,BRIP1,0.46442567807613033,-2.327268,STYXL1,0.00021102541017222837,1.5032283,FAM212A,0.5849238171122173,-1.1277391
4786,CASP2,0.06184260818063115,-0.07549019,GZMH,0.4645758833426201,-2.5340145,R3HCC1L,0.00021115907698131354,1.4676636,SLC9B1,0.5850920821269442,1.6790184
4787,PTK2,0.061866557593934716,-0.3400522,TPK1,0.4646291884818876,-0.62404144,RBMS1,0.0002121193518425274,0.56736726,WBP11,0.5851341518950024,-0.29702267
4788,VRK2,0.062145141226398866,-0.36802885,CD5,0.4648860700230171,-2.2360904,UBXN7,0.0002123208579219268,0.522582,TRMT2B,0.5851551873061118,-1.7773218
4789,GALK2,0.062146186558485125,-0.6238433,NUS1,0.46529821472436406,-0.29235867,TMEM5,0.000212511334267618,1.0575677,PCM1,0.5851867410815879,0.11358252
4790,AP1M1,0.062177553286526396,0.055853777,SLC33A1,0.4654000699885895,-0.43957102,RASA2,0.000213736441894775,0.107280485,OSBPL11,0.5852393324640969,-0.70406306
4791,STRN,0.06233877541861654,-0.4007394,KIF3B,0.4657542346819249,-0.28942612,CCAR2,0.00021386044434583217,1.656734,RP11-637A17.2,0.5852814071510237,1.013365
4792,DHRS7B,0.06255077272950131,-0.31302053,ABCB7,0.46575908729241355,-0.16855478,DNAJC5,0.00021535375270452493,2.0094461,PCF11,0.5853024450214225,-0.18143916
4793,NME2,0.06262122021183038,-0.9041191,SMPD2,0.46601146173820074,-0.43433955,HSD17B7,0.0002164345351685442,0.16962303,FADD,0.5853234832430929,0.518104
4794,SFT2D2,0.06263700102191222,-0.11278327,CDK11A,0.4660939852381286,-0.0182716,ZNF830,0.0002175433243729239,0.22927393,TRMT10A,0.5855233638659925,0.6217052
4795,FOXO3,0.06272964802791292,-0.35069874,ILVBL,0.4661522420058718,-0.28467906,MBP,0.0002178643778341478,0.13263983,CDC45,0.5858600765387498,-1.036071
4796,NOP14,0.062845616098542,-0.62704253,FAF2,0.46642416037335455,-0.10495398,C5ORF34,0.00021794471068126901,3.4489977,CUL4A,0.5859653176741549,0.39861956
4797,CUL1,0.06286038837826725,-0.34232324,TMEM41B,0.46648244004725703,-0.17898487,LRRC57,0.00022175187965495872,1.6399306,TNFAIP8L1,0.5860284665655349,-1.1038656
4798,CCDC94,0.06286883096980438,-0.45662916,LAMTOR1,0.4665844392011441,0.16896833,RBM4B,0.00022239439558232577,0.5275443,MLX,0.5860600421951776,0.16321358
4799,ZBTB32,0.06290366656962176,-3.7949402,MRPS6,0.46672531552060437,0.21474023,FAM168B,0.00022255822391259396,1.4628454,TM2D1,0.5863758418920544,0.042673945
4800,HHLA3,0.0629797269066805,-1.0712715,CEP95,0.4667447485890116,-0.26983362,SYMPK,0.00022371996149378912,0.63036513,HIST2H2BE,0.5864811259882438,0.31263953
4801,ZNF644,0.06309395994861458,0.05774571,PPFIBP2,0.4667787575389426,1.2523701,UBE4A,0.0002243088588601372,1.1004634,LIPT1,0.5865548300693018,-1.2119248
4802,NOL9,0.063116191804816,-0.82139313,PERP,0.46717238965549635,-1.339367,EBF1,0.00022719167843372444,0.40988016,OST4,0.5866601290605218,0.15373412
4803,LRRC42,0.06315325928667434,-1.5897686,DPF3,0.46720641588479883,-1.5237414,TRIM25,0.00022726329715594548,0.8800475,PTCH1,0.5867549056419901,2.5424464
4804,SNX11,0.06319776401305632,-0.7225823,SRSF8,0.4673911536774258,-0.05904844,RP11-419I17.1,0.00023377194629884034,5.1316223,PTP4A1,0.5868180939707581,0.19011237
4805,TATDN3,0.0632115445375009,-0.22710647,MIS12,0.4674446379636219,-0.17626868,MRRF,0.00023466844883428305,0.8210378,CCDC57,0.5868812854519865,0.051045015
4806,EPM2AIP1,0.0632698742381867,-0.08255029,P3H1,0.46790182384307477,-0.63988674,INPP4A,0.00023495157622775709,2.4917428,GTPBP8,0.5870603450984604,0.7072257
4807,TEFM,0.0632900348327969,-0.44705784,CELF2,0.4679699365456461,0.12913333,TRNT1,0.00023566697363766666,1.0685577,MIGA1,0.5870919464856974,-0.9369103
4808,KAT8,0.06332931017323891,-0.5945131,AP1S2,0.46822297466528917,0.2641777,MGAT4A,0.0002361491654574854,1.2390932,CEP164,0.5877346788057352,-0.79619336
4809,VPS13A,0.06342705508273014,-0.50000876,PI4KA,0.46847608853431544,-0.44208038,SMTN,0.0002363844146405365,3.7564201,METTL3,0.5880930642534361,-0.9992605
4810,CCDC130,0.06348448512779377,-0.6178941,CMPK2,0.46854424751572343,-1.0949347,LOXL2,0.00023650831830679847,3.205626,TAF1C,0.5882617511761019,1.0597466
4811,MTMR9,0.06358455843171988,-0.1510456,LRRC45,0.4685734601880328,-1.0418456,BTBD10,0.00023834923229866306,1.2986202,CYP2U1,0.5882722948511461,0.38277072
4812,WDR55,0.06361012993659566,-0.37313014,ZC3H4,0.46860754291321083,-0.21295333,NF2,0.00024037969490760548,2.0331788,SNX6,0.5882828386135184,0.0033039178
4813,NUFIP2,0.06363144601322045,-0.123129226,SRRM2,0.46866110425356045,-0.01214422,NLK,0.00024050556238824311,1.988031,ARHGAP4,0.5883988257627684,-0.47273123
4814,ZNF148,0.06380432379911107,0.032104585,ZMYM5,0.46873414790505274,-0.2524339,CD28,0.00024079529228868132,26.79294,THUMPD2,0.5885253692466179,-0.8185501
4815,PDRG1,0.06384920723623415,0.017137602,SLC25A25,0.46921152143380196,-1.1740717,VAV1,0.00024133783979956683,0.60955495,CALHM2,0.5887152080387192,-24.715134
4816,ANKRD49,0.06385989761150983,-0.04152606,RANBP3,0.46927486668736484,-0.028476661,PNPLA4,0.00024166644793067047,1.7051958,LAG3,0.5887152080387192,-24.662346
4817,KANK2,0.0638898385269439,-5.5571795,TP53RK,0.4694893010950997,-0.041979358,SRSF5,0.0002432267151712986,0.5174734,FBXL20,0.589126622391656,-1.3750253
4818,SLC30A9,0.06395296626614115,-0.72028774,CUTC,0.4695282949885906,0.024238756,UBE2E2,0.0002451550872978545,0.24512166,THAP3,0.5892743419468959,0.39247623
4819,ATP13A1,0.06396474153979315,-0.7871994,MYO9A,0.4695477926067346,-0.17847373,DNAJC4,0.00024586103079338525,0.0069321487,WIPI2,0.5892743419468959,0.16954455
4820,PLK4,0.06411047470777748,-24.757736,SYNE3,0.4697281667917528,-0.10741801,RARS2,0.00024716236832628,1.172995,VKORC1,0.5895803867942695,-0.48046014
4821,ALKBH4,0.06427690182056586,-0.6711414,TOB1,0.4697720473833278,-0.16261296,BLCAP,0.0002480810341921015,0.17376946,TCP11L2,0.5898231641126939,0.5627085
4822,TMEM251,0.06437800543450685,-0.24547139,PRKCA,0.4698061782985121,-0.42149585,SECISBP2,0.0002514594458737649,-0.12888438,TULP4,0.5901293402934987,0.4200888
4823,CDKN2AIP,0.06438015800062726,-0.2433744,ANKRD17,0.46981593024026447,-0.07059448,SENP1,0.00025434971409794697,2.0085623,CINP,0.5902243753699831,0.31178832
4824,MEF2A,0.06442860644719668,-0.06147928,HOOK2,0.4700061154618951,0.4918265,EIF1AD,0.0002550804594008265,1.0573951,BMP3,0.5902666154439427,3.625608
4825,TOB1,0.06443506851323606,-0.26813197,PAXIP1-AS1,0.4701378070670206,-0.34168583,SLFN13,0.00025537330840106156,2.1783829,ABHD17A,0.5904461512859331,-0.65425634
4826,GMEB1,0.0644393768544611,-0.21024944,SENP7,0.4701768307159018,-0.5771028,JKAMP,0.00025613352085059537,0.5679174,WRAP73,0.5904778366908484,0.3934461
4827,IFNGR1,0.06449432905027874,0.5705243,RANBP9,0.4702890336722184,-0.5007817,SPTY2D1,0.00025670841819797383,1.1680708,SAMSN1,0.5905200851148645,-0.33920622
4828,FKBP15,0.06451588948621627,-0.5548585,CXORF21,0.4703524592753353,0.25232783,ZNF414,0.00025826534479735,1.6199043,C19ORF24,0.5906151491556071,-0.30812544
4829,DMD,0.06466481867911673,-2.2636635,CSNK1G3,0.47036221747968743,0.2954077,MARCH6,0.0002586694368470368,0.11038631,GOSR1,0.5906151491556071,-0.48752883
4830,CHD7,0.06482918484197989,-0.19593433,UBE3B,0.47049884407894016,-0.5380698,PI4KA,0.0002597228524078835,2.1335044,CCNB2,0.5906362754543721,-0.5451198
4831,PAN3,0.06483134985013404,-0.10575551,MPG,0.4705818066321463,0.06397094,THAP4,0.0002608889723415642,1.7585313,FBXO38,0.5906362754543721,0.6899412
4832,TRPV2,0.06487791195598151,-1.4004436,ANKZF1,0.4706354925874935,0.36659694,OASL,0.00026271573767844503,6.5274734,OGFRL1,0.5906362754543721,0.29579976
4833,SPTLC2,0.06488874430594474,-0.27733654,RAB37,0.47069894398447576,0.7006833,EFCAB11,0.0002651608859494331,2.5121303,SLC4A8,0.5906785290951186,1.1673383
4834,RNF40,0.06493859233625622,-1.0078844,EFNA4,0.4709918577683684,1.0806268,CHTF18,0.00026574093376703433,3.5026243,PRPF4B,0.5906996564370719,0.11467927
4835,ZNF330,0.06499931952970674,-0.21894296,KCNK6,0.47105533567573243,-0.5026622,INPP1,0.00026661323622760466,2.1515005,SDCBP,0.5908686876887594,-0.30479398
4836,LRRC40,0.06508723995539996,-0.75592905,CPSF2,0.4711334688103789,-0.16642405,PDE7A,0.0002675299554125308,-0.16650856,FIG4,0.5912385210976074,0.35998842
4837,GTPBP3,0.0650981011285222,-0.66005546,COPS2,0.4712116090941728,-0.0062243748,EEFSEC,0.00026761343987239533,0.61638844,TSEN2,0.5912490893298314,-1.9342896
4838,MGA,0.06514482120917967,-0.3095898,SEC61B,0.47138745086864253,-0.019251352,TCTN3,0.00026765519125964793,0.46451196,DLGAP4,0.5914181928536176,-1.3270675
4839,ADAT1,0.06516329956528708,-0.69516295,FBXO48,0.4714900419468473,-0.9324368,ADK,0.00026874287294480437,-0.10956321,TAGLN2,0.5915344644172966,-0.14391491
4840,DCP1A,0.06518504434218364,-0.14261118,RNF135,0.4717441299784574,0.46442652,APOO,0.0002690504032438647,2.0658667,STPG1,0.592422702464195,1.7587593
4841,CARM1,0.0653199955725556,-1.4879516,AC010287.1,0.47205695730138875,-0.896143,NPDC1,0.0002703540659373849,6.1439047,BEX2,0.5927612397200828,0.1371374
4842,TARBP2,0.06533415701912972,-1.5533721,ZCWPW1,0.4722329728900492,0.38738722,SSPN,0.0002704664850969214,-3.3954914,MYNN,0.5930257836435198,-1.0392833
4843,AP3M1,0.06542790422220363,-0.27558872,TSHZ2,0.472697632017134,1.0614116,CRADD,0.00027317772590443003,1.8544124,PAXIP1-AS1,0.5932268731994023,0.3547475
4844,SBF1,0.06553049893985834,-1.4369017,ARID2,0.47285420543188206,-0.21822208,ACOT9,0.0002760146828115549,1.2664971,IL6ST,0.5934915122953689,-1.7017174
4845,ALDH18A1,0.06573280147548033,-0.9297653,LILRB1,0.4728835661249373,-0.1391274,MCCC2,0.00027697603579153327,1.0270362,FBXO34,0.5940950914455487,0.76534176
4846,FAM179B,0.06583579011221966,-0.52321315,RARA,0.4729031404777726,1.0714468,RYBP,0.0002778251977407279,1.0604808,CENPJ,0.5946565659053934,-1.201363
4847,PRKD2,0.06601029701296462,-0.085294515,MAP1S,0.4729080341356632,-0.7678524,ZNF24,0.00027882138030756697,-0.1306911,PEX14,0.5948049203823627,1.172801
4848,ADAM28,0.06607404842571198,0.24210367,VAPB,0.47295207831091934,-0.18123938,ZNF143,0.00028043096126891215,0.9343532,LAMTOR3,0.5950380829950236,0.3074855
4849,RHOC,0.06610814325617345,-1.0340523,LINC01473,0.4730744350870516,0.8506133,MAGEH1,0.0002811879903353926,1.0338596,EPCAM,0.5951440797939289,2.290315
4850,PAK1,0.06619289314174276,-0.94091415,EXOSC6,0.4731282775864196,-0.052409157,PTGES2,0.0002821662165040444,0.71183455,OFD1,0.5955681531540047,0.059341267
4851,BROX,0.06627111844564801,-0.09808431,C14ORF119,0.47328003367909566,-0.004895811,ELP3,0.0002854746896356064,1.0202087,TLR1,0.5956741930262285,0.5053861
