,8_n,8_p,8_l,9_n,9_p,9_l
121,AKR1B1,4.998853430334235e-35,2.8988166,AKR1B1,4.998853430334235e-35,-2.8988166
122,HSPB11,1.0947222598361596e-34,2.162093,HSPB11,1.0947222598361596e-34,-2.162093
123,ASPM,1.5901882592402036e-34,4.9713864,ASPM,1.5901882592402036e-34,-4.9713864
124,HMGB3,2.507079240871682e-34,3.797001,HMGB3,2.507079240871682e-34,-3.797001
125,LSM3,2.9583391084269186e-34,1.8008428,LSM3,2.9583391084269186e-34,-1.8008428
126,TFDP1,3.833920623954462e-34,2.4214482,TFDP1,3.833920623954462e-34,-2.4214482
127,TACC3,7.507401611015074e-34,4.1183186,TACC3,7.507401611015074e-34,-4.1183186
128,RNASEH2A,8.098057979899306e-34,3.1213953,RNASEH2A,8.098057979899306e-34,-3.1213953
129,TUBA1C,8.229564881608044e-34,2.8437655,TUBA1C,8.229564881608044e-34,-2.8437655
130,GPX4,1.0595351585893032e-33,1.9605545,GPX4,1.0595351585893032e-33,-1.9605545
131,RNASEH2C,1.2462739377802993e-33,2.0796967,RNASEH2C,1.2462739377802993e-33,-2.0796967
132,KPNA2,5.706139243808958e-33,2.8338416,KPNA2,5.706139243808958e-33,-2.8338416
133,IDH2,1.176014001095363e-32,2.178794,IDH2,1.176014001095363e-32,-2.178794
134,ITGB3BP,1.2273254288004901e-32,2.9685445,ITGB3BP,1.2273254288004901e-32,-2.9685445
135,SUMO3,1.6807020219818775e-32,2.1793053,SUMO3,1.6807020219818775e-32,-2.1793053
136,ANXA5,3.043187759556587e-32,2.4207993,ANXA5,3.043187759556587e-32,-2.4207993
137,CDCA8,3.4833431569965107e-32,7.701471,CDCA8,3.4833431569965107e-32,-7.701471
138,SRSF2,3.7914522273821194e-32,1.7677261,SRSF2,3.7914522273821194e-32,-1.7677261
139,MZT2A,4.781653002908102e-32,1.8548182,MZT2A,4.781653002908102e-32,-1.8548182
140,HNRNPD,9.629763112567665e-32,1.8409996,HNRNPD,9.629763112567665e-32,-1.8409996
141,ARHGDIA,1.0012385135878644e-31,2.0528119,ARHGDIA,1.0012385135878644e-31,-2.0528119
142,LAPTM5,1.4233075211855314e-31,-0.9052813,LAPTM5,1.4233075211855314e-31,0.9052813
143,HPRT1,1.6041982134646424e-31,2.4931247,HPRT1,1.6041982134646424e-31,-2.4931247
144,CDC20,2.249685855592857e-31,5.3832393,CDC20,2.249685855592857e-31,-5.3832393
145,CENPA,2.4649494808057287e-31,7.3388557,CENPA,2.4649494808057287e-31,-7.3388557
146,MAD2L2,2.820204117820023e-31,2.7378109,MAD2L2,2.820204117820023e-31,-2.7378109
147,VDAC3,5.535118607097895e-31,2.642079,VDAC3,5.535118607097895e-31,-2.642079
148,PPP1CA,5.57788136292155e-31,1.5956644,PPP1CA,5.57788136292155e-31,-1.5956644
149,BLOC1S1,6.202608949111439e-31,1.8882025,BLOC1S1,6.202608949111439e-31,-1.8882025
150,C12ORF75,6.865014873906644e-31,2.0132327,C12ORF75,6.865014873906644e-31,-2.0132327
151,SGO2,7.644402181608775e-31,4.7959127,SGO2,7.644402181608775e-31,-4.7959127
152,NDUFS5,4.4864497021731975e-30,1.841956,NDUFS5,4.4864497021731975e-30,-1.841956
153,SAE1,8.402453739923208e-30,2.3297162,SAE1,8.402453739923208e-30,-2.3297162
154,ORC6,9.465284393956912e-30,2.9774177,ORC6,9.465284393956912e-30,-2.9774177
155,SNRNP25,1.1810312485710845e-29,2.0837567,SNRNP25,1.1810312485710845e-29,-2.0837567
156,GINS2,2.3870938276604106e-29,3.1522954,GINS2,2.3870938276604106e-29,-3.1522954
157,RHEB,3.5045652827234055e-29,2.3272943,RHEB,3.5045652827234055e-29,-2.3272943
158,GLRX5,3.8212121074185937e-29,2.0860732,GLRX5,3.8212121074185937e-29,-2.0860732
159,CENPH,3.8440678154499585e-29,2.491647,CENPH,3.8440678154499585e-29,-2.491647
160,COX17,6.188612981043105e-29,1.6815258,COX17,6.188612981043105e-29,-1.6815258
161,SSRP1,6.577097553970441e-29,2.22298,SSRP1,6.577097553970441e-29,-2.22298
162,SMC1A,6.825753864775035e-29,2.3412497,SMC1A,6.825753864775035e-29,-2.3412497
163,PCBP1,8.13123257785395e-29,1.7669067,PCBP1,8.13123257785395e-29,-1.7669067
164,KIF20B,8.167466654848061e-29,2.3864117,KIF20B,8.167466654848061e-29,-2.3864117
165,PGAM1,1.0123665989913533e-28,1.7437602,PGAM1,1.0123665989913533e-28,-1.7437602
166,MRPL57,1.3112066899711953e-28,1.9055088,MRPL57,1.3112066899711953e-28,-1.9055088
167,STRA13,1.3465187300690814e-28,2.3764803,STRA13,1.3465187300690814e-28,-2.3764803
168,MCM3,1.819043539620495e-28,2.5956244,MCM3,1.819043539620495e-28,-2.5956244
169,EIF5A,2.064520747144097e-28,1.8452768,EIF5A,2.064520747144097e-28,-1.8452768
170,BCL2L12,2.5288364346741316e-28,2.7998781,BCL2L12,2.5288364346741316e-28,-2.7998781
171,PSME2,2.814928171238256e-28,1.8860092,PSME2,2.814928171238256e-28,-1.8860092
172,AURKAIP1,2.8439934068191985e-28,1.7676816,AURKAIP1,2.8439934068191985e-28,-1.7676816
173,COX7B,3.4665330651114127e-28,1.6202968,COX7B,3.4665330651114127e-28,-1.6202968
174,CENPU,3.627576182986797e-28,2.439217,CENPU,3.627576182986797e-28,-2.439217
175,HIST1H1C,3.790484267226861e-28,2.931563,HIST1H1C,3.790484267226861e-28,-2.931563
176,PTGES3,4.611348623002056e-28,1.7499983,PTGES3,4.611348623002056e-28,-1.7499983
177,HMMR,4.968141970390758e-28,4.3744764,HMMR,4.968141970390758e-28,-4.3744764
178,AP2S1,1.176155819301064e-27,1.7547944,AP2S1,1.176155819301064e-27,-1.7547944
179,VIM,1.5874948769144642e-27,3.7585332,VIM,1.5874948769144642e-27,-3.7585332
180,GSTO1,1.9213244763496584e-27,2.2961283,GSTO1,1.9213244763496584e-27,-2.2961283
