,scNym_confidence
672,0.7695318
673,0.7993299
674,0.7694424
675,0.60956186
676,0.83359915
677,0.6619331
678,0.7711069
679,0.7831662
680,0.6444158
681,0.7369169
682,0.8243477
683,0.7716896
684,0.7362985
685,0.73325753
686,0.8193282
687,0.7618059
688,0.79555696
689,0.78015363
690,0.7783425
691,0.7920004
692,0.66954833
693,0.72969437
694,0.7855433
695,0.8333772
696,0.71368116
697,0.84524935
698,0.5830664
699,0.7085004
700,0.8541612
701,0.61209375
702,0.78441864
703,0.81836367
704,0.8169985
705,0.8298992
706,0.66338634
707,0.84928757
708,0.7936379
709,0.7254079
710,0.7817482
711,0.7609666
712,0.6547844
713,0.77106315
714,0.6934082
715,0.8041023
716,0.7781177
717,0.76990074
718,0.68466866
719,0.7413385
720,0.6518668
721,0.7093319
722,0.80289733
723,0.79779434
724,0.80059147
725,0.80068904
726,0.839541
727,0.7788107
728,0.7493259
729,0.8302838
730,0.7075936
731,0.80086
732,0.66237134
733,0.79881567
734,0.8026896
735,0.54611045
736,0.7431345
737,0.7645476
738,0.70039433
739,0.7989225
740,0.80845904
741,0.8163945
742,0.81151533
743,0.8302492
744,0.7899047
745,0.609143
746,0.7920232
747,0.7874045
748,0.80466104
749,0.7862231
750,0.7404849
751,0.77483296
752,0.7955984
753,0.7814808
754,0.78809845
755,0.79078716
756,0.81549984
757,0.6467962
758,0.77228105
759,0.7230342
760,0.78161716
761,0.5424578
762,0.7783854
763,0.8077691
764,0.7615383
765,0.5486134
766,0.7775707
767,0.8595769
768,0.7737375
769,0.75742966
770,0.6570258
771,0.66096455
772,0.6071009
773,0.77002645
774,0.7999339
775,0.6242578
776,0.6985215
777,0.8066258
778,0.78294843
779,0.7952853
780,0.65758073
781,0.7875487
782,0.77371246
783,0.6890372
784,0.7876991
785,0.8781526
786,0.75703216
787,0.75529945
788,0.6693391
789,0.75721973
790,0.78375405
791,0.7917244
792,0.7851796
793,0.79573256
794,0.6809096
795,0.7931899
796,0.847447
797,0.5356816
798,0.80722
799,0.77592254
800,0.7820405
801,0.6352496
802,0.57957006
803,0.6522368
804,0.7931493
805,0.8153044
806,0.6535538
807,0.786608
808,0.7691325
809,0.8346075
810,0.8117843
811,0.63805974
812,0.7569196
813,0.784153
814,0.857188
815,0.7587093
816,0.72107756
817,0.7509159
818,0.7936337
819,0.7892024
820,0.6689584
821,0.84403694
822,0.8353406
823,0.7924421
824,0.7340595
825,0.6701676
826,0.7476383
827,0.83777237
828,0.7964188
829,0.70969313
830,0.80506784
831,0.7639749
832,0.60836023
833,0.7778251
834,0.6979885
835,0.61091995
836,0.6190831
837,0.7080237
838,0.7731527
839,0.816477
840,0.6712079
841,0.7823046
842,0.7454514
843,0.7945238
844,0.7335696
845,0.8196906
846,0.78933233
847,0.7180016
848,0.6870455
849,0.7200475
850,0.83431834
851,0.8085932
852,0.7246405
853,0.78460073
854,0.79976803
855,0.60617137
856,0.7689176
857,0.7343805
858,0.80351734
859,0.65710884
860,0.6769716
861,0.5959697
862,0.72008234
863,0.6309875
864,0.7612153
865,0.7021823
866,0.8015811
867,0.6391179
868,0.72770375
869,0.7899774
870,0.7136259
871,0.73961043
872,0.7277876
873,0.6358862
874,0.8632563
875,0.6514698
876,0.7357727
877,0.6929328
878,0.750495
879,0.78273386
880,0.6812198
881,0.7492587
882,0.8158273
883,0.73803514
884,0.64066476
885,0.79578143
886,0.86033213
887,0.80122304
888,0.7809559
889,0.8014676
890,0.8126445
891,0.762154
892,0.66022766
893,0.78485966
894,0.7616491
895,0.75832444
896,0.76935637
897,0.7055101
898,0.81638044
899,0.7817077
900,0.79220665
901,0.76783794
902,0.80859363
903,0.7085688
904,0.75928986
905,0.8488623
906,0.8080176
907,0.8217442
908,0.8174183
909,0.6568115
910,0.8134163
911,0.8649048
912,0.78961027
913,0.70461166
914,0.7229711
915,0.79923743
916,0.77814406
917,0.82692724
918,0.7648352
919,0.7706094
920,0.6373127
921,0.75268877
922,0.812762
923,0.80011797
924,0.78469944
925,0.72402537
926,0.74021816
927,0.8088554
928,0.6228777
929,0.68043816
930,0.8119148
931,0.8038555
932,0.7982965
933,0.8509408
934,0.6511814
935,0.8246599
936,0.8057068
937,0.7754098
938,0.81477475
939,0.7023239
940,0.90633273
941,0.6626734
942,0.67440027
943,0.7620732
944,0.7618785
945,0.8100062
946,0.8498305
947,0.6431076
948,0.75035304
949,0.7708947
950,0.75124794
951,0.7280107
952,0.80901784
953,0.7412209
954,0.8237132
955,0.77774584
956,0.8599355
957,0.8012955
958,0.75812477
959,0.6698744
960,0.7330077
961,0.7748216
962,0.808089
963,0.76652914
964,0.88760674
965,0.71213406
966,0.7643258
967,0.5691153
968,0.78862506
969,0.79139394
970,0.7430497
971,0.8620543
972,0.82081
973,0.7743718
974,0.7843891
975,0.8042717
976,0.6676904
977,0.753376
978,0.8512456
979,0.70857054
980,0.80105215
981,0.7710583
982,0.6684104
983,0.626437
984,0.7152902
985,0.79686105
986,0.6428017
987,0.5882652
988,0.81516206
989,0.6801404
990,0.79400253
991,0.85352445
992,0.68364453
993,0.74671483
994,0.80618113
995,0.774614
996,0.7866081
997,0.74634624
998,0.8015198
999,0.7267936
1000,0.8572099
1001,0.7995409
1002,0.8438221
1003,0.76413834
1004,0.7450192
1005,0.77050316
1006,0.74015176
1007,0.65959543
1008,0.7889168
1009,0.6762064
1010,0.80394095
1011,0.74592173
1012,0.75592256
1013,0.77573484
1014,0.7924272
1015,0.7945334
1016,0.9147638
1017,0.8412902
1018,0.7998282
1019,0.7828204
1020,0.79477584
1021,0.7072976
1022,0.61835724
1023,0.6378279
1024,0.825254
1025,0.8315799
1026,0.6979707
1027,0.76168853
1028,0.7767508
1029,0.816625
1030,0.7023776
1031,0.7975135
1032,0.8573116
1033,0.76172036
1034,0.77628994
1035,0.80107933
1036,0.79304904
1037,0.7769048
1038,0.780872
1039,0.82556367
1040,0.78626
1041,0.83435494
1042,0.62313706
1043,0.803031
1044,0.7678041
1045,0.6867674
1046,0.8163789
1047,0.7675975
1048,0.8838566
1049,0.74692005
1050,0.76675934
1051,0.7741188
1052,0.83234864
1053,0.7359035
1054,0.76891124
1055,0.61930954
1056,0.81079817
1057,0.75327694
1058,0.7725432
1059,0.7961161
1060,0.8112435
1061,0.7791693
1062,0.78710717
1063,0.81460834
1064,0.7675121
1065,0.7116965
1066,0.7026231
1067,0.73530483
1068,0.74894875
1069,0.66110075
1070,0.8566836
1071,0.8160658
1072,0.8082517
1073,0.80366355
1074,0.75521946
1075,0.6898611
1076,0.7493139
1077,0.6344874
1078,0.8190823
1079,0.82807994
1080,0.83555716
1081,0.6929266
1082,0.75228107
1083,0.8187762
1084,0.7664429
1085,0.737136
1086,0.74126446
1087,0.7501773
1088,0.70706725
1089,0.84118557
1090,0.8550373
1091,0.73970324
1092,0.79697645
1093,0.8047325
1094,0.76087993
1095,0.64110893
1096,0.85763335
1097,0.8229984
1098,0.7698159
1099,0.7357224
1100,0.7415649
1101,0.8054952
