"","x"
"885",8
"886",8
"887",2
"888",0
"889",6
"890",3
"891",6
"892",0
"893",3
"894",2
"895",4
"896",7
"897",0
"898",8
"899",2
"900",8
"901",4
"902",0
"903",5
"904",3
"905",8
"906",4
"907",0
"908",7
"909",5
"910",1
"911",3
"912",0
"913",2
"914",6
"915",6
"916",3
"917",1
"918",8
"919",7
"920",4
"921",2
"922",2
"923",3
"924",5
"925",2
"926",0
"927",7
"928",0
"929",0
"930",0
"931",0
"932",8
"933",3
"934",0
"935",0
"936",1
"937",8
"938",6
"939",1
"940",5
"941",4
"942",0
"943",1
"944",3
"945",7
"946",5
"947",0
"948",0
"949",4
"950",0
"951",0
"952",7
"953",6
"954",3
"955",6
"956",4
"957",6
"958",0
"959",1
"960",1
"961",2
"962",0
"963",8
"964",8
"965",4
"966",6
"967",2
"968",5
"969",1
"970",4
"971",7
"972",3
"973",6
"974",1
"975",1
"976",0
"977",3
"978",0
"979",1
"980",1
"981",1
"982",6
"983",8
"984",8
"985",7
"986",1
"987",1
"988",0
"989",5
"990",5
"991",3
"992",6
"993",0
"994",7
"995",8
"996",8
"997",5
"998",3
"999",4
"1000",0
"1001",3
"1002",1
"1003",3
"1004",2
"1005",2
"1006",3
"1007",1
"1008",4
"1009",0
"1010",2
"1011",2
"1012",6
"1013",5
"1014",2
"1015",1
"1016",0
"1017",3
"1018",7
"1019",5
"1020",6
"1021",6
"1022",1
"1023",1
"1024",6
"1025",0
"1026",2
"1027",5
"1028",0
"1029",1
"1030",0
"1031",0
"1032",2
"1033",3
"1034",6
"1035",3
"1036",2
"1037",1
"1038",0
"1039",1
"1040",2
"1041",8
"1042",8
"1043",1
"1044",0
"1045",6
"1046",0
"1047",3
"1048",3
"1049",0
"1050",3
"1051",1
"1052",0
"1053",1
"1054",7
"1055",3
"1056",2
"1057",2
"1058",3
"1059",0
"1060",0
"1061",1
"1062",0
"1063",5
"1064",4
"1065",5
"1066",4
"1067",0
"1068",3
"1069",6
"1070",1
"1071",0
"1072",1
"1073",0
"1074",7
"1075",4
"1076",1
"1077",1
"1078",4
"1079",7
"1080",3
"1081",1
"1082",0
"1083",3
"1084",2
"1085",8
"1086",6
"1087",5
"1088",0
"1089",7
"1090",4
"1091",6
"1092",2
"1093",5
"1094",1
"1095",0
"1096",0
"1097",2
"1098",1
"1099",3
"1100",0
"1101",5
"1102",7
"1103",3
"1104",6
"1105",5
"1106",7
"1107",0
"1108",8
"1109",7
"1110",4
"1111",1
"1112",3
"1113",5
"1114",6
"1115",6
"1116",1
"1117",3
"1118",0
"1119",6
"1120",0
"1121",4
"1122",0
"1123",6
"1124",2
"1125",4
"1126",1
"1127",3
"1128",2
"1129",4
"1130",5
"1131",0
"1132",5
"1133",3
"1134",2
"1135",6
"1136",3
"1137",1
"1138",8
"1139",7
"1140",6
"1141",4
"1142",7
"1143",2
"1144",4
"1145",8
"1146",0
"1147",2
"1148",0
"1149",0
"1150",6
"1151",0
"1152",0
"1153",6
"1154",1
"1155",1
"1156",4
"1157",3
"1158",3
"1159",6
"1160",1
"1161",4
"1162",7
"1163",1
"1164",1
"1165",4
"1166",2
"1167",3
"1168",1
"1169",2
"1170",2
"1171",1
"1172",1
"1173",1
"1174",0
"1175",8
"1176",0
"1177",1
"1178",3
"1179",2
"1180",7
"1181",3
"1182",2
"1183",3
"1184",7
"1185",0
"1186",6
"1187",4
"1188",5
"1189",1
"1190",4
"1191",5
"1192",4
"1193",4
"1194",7
"1195",6
"1196",7
"1197",5
"1198",4
"1199",5
"1200",7
"1201",1
"1202",0
"1203",6
"1204",0
"1205",2
"1206",8
"1207",0
"1208",6
"1209",7
"1210",2
"1211",1
"1212",6
"1213",2
"1214",1
"1215",5
"1216",0
"1217",0
"1218",1
"1219",0
"1220",3
"1221",0
"1222",1
"1223",0
"1224",2
"1225",6
"1226",0
"1227",1
"1228",4
"1229",5
"1230",5
"1231",8
"1232",6
"1233",5
"1234",1
"1235",0
"1236",8
