"","UMAP_1","UMAP_2"
"126681616182052_1",-4.95874081617275,4.42995851331644
"126681646853427_1",-2.03075669771114,7.5325013905137
"126706296768861_1",-6.80707274442593,5.61565940671854
"126706296772956_1",-0.871464476641806,8.24068897062235
"126706297231732_1",-5.20379649167934,-4.81455452150412
"126706311612213_1",-0.660532728490027,7.87249439054422
"126706324303139_1",-1.63706336980739,8.70964401060037
"126706324454755_1",-2.51238022809902,7.87088935666971
"126706343107875_1",0.476169481221048,6.18658464246683
"126707773659484_1",-4.67444621091762,-4.82011301225729
"126707787851699_1",-2.40986059671322,-1.27644188112326
"126707788367723_1",-2.34171722894588,-0.858816692295746
"126707819535092_1",-0.705897823628577,0.398440292414948
"126765636151732_1",-3.08863626485744,7.3467389851182
"126765636476316_1",1.20392860406956,5.55982082181863
"126765648496941_1",2.55069412225804,3.47621362501077
"126765648690395_1",-2.46469794279018,8.18187539869241
"126765667628788_1",-7.67959271436611,-5.7099450320632
"126776224102765_1",1.40201891893467,8.34047811323099
"126776270609718_1",1.92581118578037,3.79649751478128
"126776270777070_1",-0.903883413132819,8.56657474332742
"126834206169948_1",-5.90855561262051,4.65080898099832
"126834206985636_1",5.66753567689976,0.142975768384262
"126834221201707_1",1.71115840906223,3.92590396696024
"126834221205286_1",-4.91182814603725,4.75867097669534
"126834221477085_1",0.206546082440225,1.49668793970041
"126834252344605_1",0.0144876980217376,0.682089826401993
"126834252896029_1",1.3940851830872,6.48665969663553
"126835145751779_1",0.985485806408731,7.09753578000955
"126835160471261_1",1.07472528452,7.09399526410989
"126835192346421_1",-1.15614400869289,-0.893798419895843
"126835192424358_1",-2.31196163659969,7.35130374723367
"126836622158564_1",-7.03249035840908,0.578915244278237
"126836649868140_1",-2.7919043160049,8.8590075283616
"126836668258718_1",-0.753147170600089,-0.576790997448639
"126836668586221_1",1.62163247102818,6.56037013822488
"126885746558708_1",1.02098847860417,8.96436946683817
"126885761300342_1",-6.94229708677212,-5.0237787455947
"126885792210211_1",-2.16314588552395,7.58176248365335
"126885792233310_1",-1.30797807937542,-0.107492098274902
"126885792233757_1",-0.389983684477004,-1.0966946572692
"126886685359531_1",4.65349616045078,-4.67950899309225
"126886712601955_1",1.50750090116581,5.96806304746561
"126886713124659_1",2.08778490060887,0.709566166934296
"126886713374510_1",-3.59165845876613,2.34936838441782
"126886732021086_1",0.240072026196329,0.812099745806977
"129457492518747_1",-7.120667085704,0.617448365625664
"129457519782133_1",2.31375278467259,-0.287789830628113
"129497354332395_1",-1.75419400697628,-0.514703580799774
"129497369602460_1",-3.03264461522976,-2.89225370592184
"129565671148956_1",-2.30242167478481,8.09749334150247
"129565672031964_1",1.92183174127659,-4.79956896013327
"129565686159148_1",-2.89707575803676,-1.16204018301077
"129565686188915_1",-1.77173863416591,8.75544803434305
"129565698743532_1",-3.12609611516872,6.9472290783494
"129565699234612_1",-0.161452696379813,7.83043115430765
"129582986119516_1",2.17164148325047,-2.25706631845541
"129583000443739_1",-2.13743399148861,6.19070260816507
"129583031434595_1",0.446215703430978,6.29862659269266
"129663515932395_1",-9.51189003950039,-1.35303921407767
"129663543197045_1",-3.47941814428249,8.17928045087747
"129663543396204_1",1.20376850599369,2.86484020048074
"129663543691621_1",-2.36048136716762,8.55147903257303
"129663562111838_1",1.47185029024204,8.6048514156907
"129663562541413_1",-1.15725980764309,0.052532783088013
"129978391022454_1",1.16901494497379,-0.0886940450102842
"129978391283555_1",-9.22413979535976,-1.12220329946585
"129978405664622_1",-2.47487817769924,7.97759549909525
"129978417961268_1",2.51836909288487,2.99004428678445
"129978418256614_1",-1.09125171667019,7.36283843809061
"129978437385566_1",-1.49286626344601,6.96312253766946
"129978437388526_1",1.53722251886448,8.4384228497117
"130057579478236_1",2.61825169557652,3.54228656583719
"130057579486571_1",2.29588521951756,3.77066295438699
"130057579903924_1",-1.88403366571346,8.33165233426981
"130057594354532_1",-3.38675437932888,1.53328769498758
"130057607174388_1",-3.08616362577358,7.60863750272684
"130126433106221_1",-2.78717528348842,-1.39492685503073
"130126447761325_1",-1.23656801944652,7.75191753202371
"130126448289709_1",-2.38746665483394,8.67041652494363
"130126448318709_1",-3.63050089841762,7.21825950437479
"130126460937950_1",-1.05413858657757,7.59088962369852
"130134888863987_1",-2.42343233590999,4.62877147489481
"130134889052588_1",-2.27840505605617,5.70240800672464
"130134889412468_1",-1.87898801332393,0.881328603562638
"130134903740852_1",-3.83897005086819,8.14906232648782
"130134903765931_1",1.03891195291599,6.18405692869119
"130134916123549_1",-0.158736244496497,7.82899635129862
"130134916156846_1",-3.68719206815639,2.00540738397531
"130134934771933_1",-6.43563281064907,5.57102554136209
"130134934997749_1",1.54859341615757,6.96132247739725
"130142285187421_1",4.73611725801548,-0.386440405312256
"130142285490462_1",0.497061445656625,5.94736402326517
"130142297865499_1",0.525992109719125,5.89087407880716
"130144687249709_1",-4.88308297162929,-4.43193180269308
"130144701430061_1",1.89512742990574,-4.72985822862692
"130144732567923_1",-6.89402304654995,7.10015600019388
"130144732592990_1",-2.22832892900387,7.95751016431741
"130144733129630_1",-1.52724288469234,7.11319225126199
"130144733183348_1",-1.81179402833858,8.58799331479959
"130184146541854_1",-6.90976677900234,7.15019529157571
"130184146963822_1",-3.65719519620815,1.92136662298135
"130184147061110_1",-9.67229424482265,-5.81251842683859
"130184161646308_1",0.641137375775186,-0.933025428715423
"130185488918955_1",-6.5148116207687,-5.4613049716384
"130185516173109_1",-1.67169390684048,8.05820720487528
"130185516247852_1",1.54005493158421,6.7914182453721
"130185535076133_1",1.46604718202671,8.73938720518045
"130194213333366_1",-2.57779441839138,8.77729480558328
"130194213591341_1",-1.46139787202755,-0.504809448185638
"130194240355107_1",-0.109843448456915,7.13482921415262
"130194259262364_1",-3.14500962263027,7.6846968441575
"130194259492085_1",-1.30369518762508,-2.58786828226157
"130194259721435_1",0.146548047009317,0.428202716012224
"130203876969838_1",0.687875165882913,1.82515733533792
"130203877272485_1",-10.187413797435,-4.71000702089377
"130203891490086_1",3.82704581255039,3.78140418821268
"130203891689908_1",-0.561979279574545,1.18301623159341
"130203892016931_1",-6.15107594495693,5.14698045545511
"130203922648428_1",1.56648339265904,7.78020780378275
"130203923147043_1",-0.235553309973868,3.37645047002725
"130203923168099_1",-6.49237929349819,6.27206104093485
"130529086257005_1",-0.839468166884573,7.23844974332742
"130529086269662_1",-0.419075702038201,1.34082745605402
"130529086367973_1",-5.86814938550869,-5.11883670991965
"130529086794011_1",-8.95902787214199,-5.06743557161398
"130529113357148_1",4.31211508745274,-1.2480412215621
"130529113529565_1",-9.62167416578213,-5.8723419398696
"130529132440492_1",-1.19448690181652,-0.0397168487937009
"130529132670174_1",-0.176823989209326,0.600459521946236
"130531382712749_1",-6.47745285993496,6.45298927122049
"130531395070707_1",-1.97872208124081,7.38093011670999
"130531395557284_1",-6.50358592039028,5.84998338514261
"130531395759516_1",2.05038441652378,4.00405471616678
"130624783341804_1",1.59156025880894,6.73245208555154
"130624783543196_1",-9.06107293134609,-3.80033094591208
"130624798545716_1",-0.058098599967154,-0.896064469280914
"130624810535790_1",-6.47901164060512,7.20440357023172
"130624811387292_1",5.40691317552647,-1.26286108202048
"130624829377947_1",-3.41778718000332,8.61720722013406
"130624829713181_1",-3.37757478719631,8.58451240354471
"130624830261084_1",2.49745787614903,0.535708962318226
"130675114986779_1",-0.858807221707495,-0.339796969357208
"130675115182821_1",-6.33081065183559,6.42210548215799
"130675115736356_1",-2.37651680475155,-2.62484438127585
"130675129599926_1",-1.30875985389629,7.18574636274271
"130675129866988_1",-2.6571067429153,8.16551988416605
"130675161618149_1",0.892094507160989,8.90096252256326
"130693115332509_1",-6.45427332883755,-5.85249836153097
"130693127622046_1",1.81239785188755,3.64171569639139
"130693127949029_1",0.811989917698709,6.96460645490579
"130693128121054_1",0.516418054047433,5.58088128858499
